5月7日,月
男,……。あー……朝か。ゴールデンウィーク終わっちまった……会社行きたくねェ……。メシ食って、顔洗って、ヒゲ剃って、歯磨いて、スーツ着て、出かけなきゃならないけど……。全然そんな気が起きねェ……。ゴールデンウィーク、楽しかったなァ……。午後まで寝たり、ゲームやったり、音楽聞いたり、旧友と騒いだり、日帰り一人旅したり……。あーあ……連休ってなんで終わっちゃうんだろう……。あと一日……もう一日だけでいいから、休みてェなぁ……。そうだ！こんだけだるいんだ！もしかしたら、熱があるかも……。ですよねー。実はまだ、ゴールデンウィークだったりして！。だよねー。あと休む方法というと、身内に不幸があることぐらいだけど……。って、なに考えてんだ！そんなこと期待するほど、さすがに落ちぶれてねェ！。支度するか……。結局、いつも通り電車に乗っちゃった……悲しい習性だ……。あ～……会社行きたくない、会社行きたくない、会社行きたくない、会社行きたくない。行きたくない、行きたくない、行きたくない、行きたくない、行きたくない、行きたくない。行きたくない行きたくない行きたくない行きたくない行きたくない行きたくない行きたくない。行きたくないッ！。サボろうッ！。やっちまった……。まぁいいよね、一日ぐらいサボったって……。さすがにクビは……ないよね。さぁ、海を見に行こう！俺のゴールデンウィークはこれからだ！。まだ海には早いけど、いい海だ……。ゴールデンウィーク終わったから、人も少ないし……貸し切り状態……。と思ったけどこの海岸、結構人がいるな。あれ！？
同僚女,ヤッホー
男,女さん！？どうしてここに！？
同僚女,やだー、分かってるくせに！
男,え
同僚女,あなたもゴールデンウィークが終わった辛さに耐えられなくて、ここに来たんでしょ？
男,まぁ、そうですけど。まさか、女さんまでいるとは……ビックリしたやらホッとしたやら
同僚女,私だけじゃないわよ。ほら、あそこ
先輩,ふぅ～、ひと泳ぎしちまったぜ！
男,先輩！なにやってるんですか！
先輩,なにって、ゴールデンウィーク明け初日に会社サボって海でスイミングだよ
男,完璧な回答をありがとうございます。ですが、女さんも先輩も、俺もいないんじゃ、今頃課は大騒ぎでしょうね
先輩,いや、そんなことないだろ。だって、係長も課長もあそこにいるし
男,え！？
係長,ほーら、砂で埋めちゃいますよ
課長,やめたまえ、係長君！
男,二人まで！？こんなこと、部長に知られたら大変ですよ！
部長,私がどうかしたかね？
男,部長ォ！？。部長までサボっちゃって、大丈夫なんですか！？まずいですよ！
部長,大丈夫だろ。だって重役連中や社長もみーんなあっちにいるから
男,そうなんですか！？。しかし、うちの社に誰もいないと、取引先の人達が困るんじゃ……
取引先の人達,バーベキューしようぜー！ビール買ってきたー！
男,ええええええええええ！？。よく見たらこの海岸、色んな会社の社員だらけじゃねェか……
同僚女,というわけ！
先輩,うちの社だけじゃないんだ！
係長,だから君も安心するがいい！
課長,みんなでサボれば怖くない！
部長,さぁ、五月の海を満喫しよう！
みんな,俺たちのゴールデンウィークはこれからだ！！！！！
男,いや、仕事しましょうよ皆さん……
