※ブラックジャックの,六等星
真乃,イルミネーションスターズのWING優勝から、早くも二ヶ月が経とうとしています。この二ヶ月で、私たちを取り巻く環境は大きく変わりました。アイドルとして有名になり、公私共に多忙な日々が続いています。私たちの、直接のお仕事も……
めぐる,灯織！今日の収録、第一スタジオと第三スタジオのどっちだっけ！？
灯織,確か第三スタジオだったと思うけど……。ちょっと待って、すぐに確認するから
真乃,ほわ……たしか先週は同じ番組の収録で、第一スタジオだったよね？
めぐる,うー、色んな収録があってややこしいよー！
灯織,うん、間違いなく第三スタジオ。第一より少し遠いから早めに準備しないと
めぐる,そっか、ありがとう灯織！じゃあ急がないとね！
真乃,テレビのお仕事も増えて、前より随分と外に出ることが多くなりました。その他にもレッスン、学業、ライブなどなど……目まぐるしくも充実した日々を送ってます。だけど、一番大変そうなのは……
P,すまん、遅れた！全員揃ってるか！？
めぐる,おはよー、プロデューサー！。大丈夫、ちゃんとみんな揃ってるよ。準備も始めてる！
P,お、偉いぞ。すっかりアイドルが板について来たな。灯織もありがとうな
灯織,いえ、自分のスケジュール管理をするのは当然のことですから。それよりプロデューサー。今日の収録は来て頂けるんでしょうか？
P,すまん、灯織。局のプロデューサーさんとの打ち合わせが入っててな。行きの送迎はする。収録の最終確認も車内でしよう
灯織,分かりました。……少し、残念です
めぐる,プロデューサー……最近、収録付いて来てくれること減ったよね
P,先のことを考えると、どうしても外せない案件があってな。本当に悪いと思ってる
めぐる,あ！プロデューサーのこと、責めてるわけじゃなくてね。あんまり忙しそうだから、大丈夫かなって
P,俺の心配なら無用だ。体力には自信があるからな。とは言え、心配してくれてありがとうな、めぐる
真乃,本当に、大丈夫なんですよね……？。その、プロデューサーさんの顔色……あんまり良くないように見えます
P,みんな心配性だな。大丈夫だって、信頼してくれ
真乃灯織めぐる,……
真乃,一番大変になったのは、プロデューサーさんです。私達三人分の忙しさ、といった感じで、寝る間も惜しんで働いているみたいです。……正直、申し訳ない気持ちになります
P,六等星？
めぐる,うん、六等星。今日の収録でさ、後半に星の話が出るでしょ？
真乃,あ、星の明るさの話が出るところ？。肉眼で見える星のうち、最も暗いものが六等星であるって部分の……
めぐる,そうそう。だけど、その後に六等星は、実際は一等星よりも明るいこともあるってあるよね。ここがよくわかんなくて。一等星が一番明るいんだよね？
P,ああ、なるほど。見かけの等級と絶対等級って話なんだが……。そうだな。灯織、説明してくれ
灯織,え、私ですか？。その……プロデューサーが説明した方が良いんじゃないですか？
P,いいからいいから。灯織の口から聞いてみたい
めぐる,あ、私も聞いてみたい！灯織の説明！
灯織,そういう……ことなら。まず前提として、一等星とか六等星とかの等級って言うのは、星の明るさの基準のこと。そしてその等級は、地球から見た星の明るさによって、星ごとに決められてる……。ここまでは大丈夫？
めぐる,うん、大丈夫
灯織,なら、このまま続けるよ。この時大事なのは地球から見たって部分なんだけど……。光って、離れてれば暗く見えるし、近ければ明るく見えるよね？
真乃,えっと、近くにある携帯の光と、遠くにある電灯……みたいな感じなのかな
灯織,うん、大体あってる。その場合、六等星が電灯で一等星が携帯。本当は電灯の方が明るいのに、遠く離れてるから暗く見えてしまう。そんな風に、本来の明るさと地球から見た明るさが逆転してしまうこともある……。こんな説明でどうでしょうか。プロデューサー
P,ああ、いいと思うぞ。よし、今日の収録中に分からない所が出たら、灯織に話をふれば大丈夫だ
灯織,な……
めぐる,そうだね。灯織の説明すっごく分かりやすいかったよ！
真乃,頼りにしてるね、灯織ちゃん
灯織,えっと、その……。……うん、頑張る
めぐる,だけど六等星って、何だか損してるみたいだね
灯織,損？
めぐる,だって、本当は明るいんだよね？。それなのに暗く見えるなんて、わたしは勿体無いと思うな
灯織,……確かにそうかも。そういう考え方、したことなかった
P,ま、考え方とか感じ方は人それぞれだな。俺は六等星も悪くないと思うけど。むしろ好きだ
めぐる,そうなの？どういう所が？
P,それはだな……。……と、もうそろそろ現場に着くな。降りる準備しといてくれ。俺の雑談はまた今度、時間がある時にな
真乃,収録お疲れ様。灯織ちゃん、めぐるちゃん
灯織,お疲れ
めぐる,二人ともお疲れー！。灯織、今日は特に凄かったね！
真乃,うん、格好良かったよ。まるでお星様の博士みたいだったかな
灯織,そんな褒められる程のことじゃないよ。星とかの天文の話って、占いだと結構出てくるから
真乃,あ、調べてるうちに覚えちゃったんだね
めぐる,灯織らしいね！。うーん……私も色々と勉強した方がいいのかな？
灯織,めぐるは自然体が一番だと思う
めぐる,同じこと、プロデューサーにも言われたことあったような……
真乃,私も、灯織ちゃんと同じ意見かな。めぐるちゃんはそのままで……。……あれ？
スタッフA,イルミネーションスターズ、だっけ？
スタッフB,そうそう。というか準レギュのユニット名くらい覚えろよな
真乃,ほわっ、スタッフさんが私たちの話をしてます。隣の控え室から？私の後ろの窓から聞こえてきて……。あっちの窓、開いちゃってるのかな。灯織ちゃんとめぐるちゃんには、聞こえてないみたいだけど……
スタッフC,中々良いユニットだと思うよ。番組内の受け答えもしっかりしてるし、見た目も歌も悪くないでしょ
スタッフB,WINGの話題性もあるしな。数字取れるユニットだと思うぞ
スタッフA,283プロさんがやり手なのかねぇ。あのプロデューサー……
真乃,あ、プロデューサーさんの話……
スタッフC,それはどうだろうな。あのプロデューサーって、かなり若手だったろ。たまたま金鉱脈を掘り当てた、って感じじゃないか？
スタッフA,ふーん、そんなもんか
スタッフB,俺も大体は同じ意見かな。経験豊富そうに見えないし。まぁ、でも……。実際のところは、よく分かんないよ。話す機会とかほとんど無いしな
真乃,……っ
灯織,真乃？
真乃,ほわ……な、何かな、灯織ちゃん
灯織,何ってわけじゃないけど……真乃、苦しそうだったから
めぐる,大丈夫？顔、強張ってたよ
真乃,ほわわ、そう……だったかな。ちょっと、ぽーっとしちゃってました
灯織,それなら良いんだけど……
真乃,うん、ありがとう。灯織ちゃん。……全然、平気です
灯織&めぐる,……
灯織,……そろそろ出よっか。確か真乃は直帰せずに、事務所に戻るんだったよね
真乃,あ、うん……事務所を出る時に、忘れ物しちゃて。明日使うものだし、今日中に回収したいんだ
めぐる,ごめんね。本当は私たちも一緒に戻りたいんだけど……
真乃,ううん、仕方ないよ。この時間から事務所に寄ってたら、家に帰り着く頃には真夜中になっちゃうもんね
めぐる,あーあ、本当に残念……。明日の仕事がなければ一緒に事務所まで行くんだけど……。でも真乃の言う通り、仕方ない事だよね。それじゃあ、また明日
灯織,真乃、また明日
真乃,うん。二人とも、また明日。今からだと……うん、9時半くらいには事務所に着けるよね。プロデューサーさん、事務所にいるかな。……まだ、頑張ってくれてるのかな。ほわわ、プロデューサーさんが寝ています……！。寝てると言うより、突っ伏してると言った感じだけど……。見本誌のチェックをしてたのかな？雑誌が開きっぱなしで……。見出しは……イルミネーションスターズの三人を大特集！……。……。……三人、かぁ。私、灯織ちゃん、めぐるちゃん。その三人でイルミネーションスターズ。だから三人って描かれるのは、当たり前のことだよね。それ以上の人のことまで書くと、変な雑誌記事になっちゃいます。だけど……。だけど本当は、三人だけでユニット活動をしてるわけじゃなくて。プロデューサーさんを始めとして、社長さんやはづきさん。その他の色々な人のおかげで、私たちは活動できてるわけで……
P,ん……真乃、か……？
真乃,あ、プロデューサーさん。ごめんなさい。起こしちゃいましたか？
P,……ああ、寝落ちしちゃってたのか。気にしないでいいぞ、真乃。起こしてくれて有難いくらいだ
真乃,その……プロデューサーさん、やっぱり寝不足なんですか？
P,んー、そうかもな。でも毎日ってわけじゃないぞ。体調管理だって仕事のうちだしな。今日だけ偶然だよ
真乃,偶然には、見えません。それに、無理して笑ってるように見えます。何かしてあげたいです。元気が出るようなこと、何か……
P,よっと……少し外に出てこようかな。眠気覚ましでも買ってきたい
真乃,！プロデューサーさん！
P,ん、どうした？急に大きな声だして
真乃,あ、あの！買い物のついでに、ちょっとだけで良いですけど……。一緒に……星を見ていきませんか？。灯織ちゃんとめぐるちゃんと、星を見に行ったことがあります。その時は、満天の星空から元気がもらえた気がしました。だから、それを思い出しての事だったのですが……。ほわ……お星様、あんまり見えないです……
P,都会の真ん中だしな。暗めの公園内とはいえ、そんなに見えるもんじゃないか。一等星は当然見えるとして、後は二等星までってところだな
真乃,ほとんど見えなくなっちゃうんですね
P,仕方ないさ。街中の明かりを消すわけにもいかない
真乃,そ、そうですよね。そういえば、プロデューサーさんの話の続き……。六等星の話の続きって、まだ聞けてませんでしたよね
P,ああ、送迎の時のか。大した話でも無いんだがな。五等星とか六等星とかって、条件が整わないと見れないだろ？。だから、遠出したり器具を揃えたり……。そういう手間暇をかけないと見れない物と言うのも、悪く無いかなって思うんだ。それが俺の勝手な意見だが……
真乃,……
P,真乃は、そう思わないみたいだな。……真乃は、どう思ってるんだ？
真乃,わ、私は……。私は……めぐるちゃんと同じです。だけど、勿体無いより悲しいと思っちゃって……
P,悲しい、か
真乃,……はい。そこに在るのに、気付いてもらえないのは辛いです。輝いてるはずなのに、認めてもらえないのは悔しいです。……何より、周りから切り離されてるのは、悲しいです
P,……。……それは。……そうだな、真乃。白鳥座の一等星、デネブは見えるか？
真乃,……白鳥座、ですか？えっと……。……はい、あの青白い星ですよね。見えてます
P,そこから10度もズレてない所に、はくちょうざδ星がある。そして、その側には二つの伴星があるんだ。δ星は三等星。二つの伴星はそれぞれ六等星と十二等星だ
真乃,……三つとも、二等星には達してないです。そのどれもが、今は見えてないんですよね
P,そうだ。今、この場所からは肉眼だと見えない。在るという知識が無ければ、誰もその星を知ることはない。だけど、それは地球から見たらの話だ。地球から見たら遥か遠くにある星々も、10度に満たない角度の中にあるなら……。地球からの距離より、二つはずっと近くにあるのかもしれない。……もしそうなら、デネブから見たその六等星は、地球から見た時よりずっと明るく見えているはずだ。地球からは六等星でも、デネブから見れば一等星に見える可能性だってある。そう考えれば、六等星でも悪くないと思わないか。どこかの星にとっての一等星であれば、それで救われる。俺はそう思う。真乃は……デネブから見たその六等星が、ちゃんと明るく見えてると思うか？
真乃,そ、それは……。それは……勿論そうです。きっと一杯輝いて、その星を明るく照らしてくれています
P,それなら、良いじゃないか。どの星からも暗く見えてたら、さすがに悲しいからな
真乃,そんなことは……絶対にないです。だけど、だけど私は……
P,そっか、納得できないか。……本当に優しいな、真乃は。……
真乃,……
P&真乃,……あ……
P,ま、真乃！今の見たか……！？
真乃,は、はい……！流れ星さん……でしたね……！。とっても長い尾を引いて……本当に、綺麗な……
P,そうだな。今の流れ星くらい美しい奴は、俺も始めて見たかもしれん
真乃,プロデューサーさんでも、ですか？
P,ああ。そう言う真乃もか？
真乃,はい。流れ星さん自体、見る機会は多く無いですけど……。それでも、今まで一番綺麗だったって、自信を持って言えます
P,そっか。それなら、都会の空だって捨てたもんじゃないな。見上げていれば、あんな物が見える時だってあるんだから。……それと、ありがとうな
真乃,ほわ……？お礼を言われてるようなことなんて、私は……
P,してくれたよ。星を見にいこう、って誘ってくれたのは真乃だろ？。真乃がいなかったら、今の流れ星は見つけられなかった。だから、そのお礼だ
真乃,……っ
P,よし、そろそろ事務所に戻るか。寒くなってきたしな。夏とはいえ、夜は冷えるからな。風邪でも引いたら大変だ。戻ってコーヒーでも淹れて……。……真乃？
真乃,……
P,どうした立ち止まって。まだ見ていたいのか？。それなら……
真乃,プロデューサーさん
P,……。……ああ、何だ？
真乃,……私は、一等星みたいなアイドルになりたいです。灯織ちゃんと、めぐるちゃんと、イルミネーションスターズの三人で……。いつか輝ける場所に立ちたいって思います。それが今の、私の夢です
P,一等星……。そうだよな。WINGが終わった後も、ずっと頑張ってるもんな
真乃,……でも、その夢がちょっとだけ変わりました。今日ちょっとだけ、ハッキリとしました。なりたい一等星がどんな物なのか、分かったんです
P,……真乃の、次の夢か
真乃,そうです。ふと誰かが、夜空を見上げたくなるような。その星があるから、空を見に行きたくなるような。そんな一等星に、私はなりたいです。だから……。だから、これからも頑張りますね、プロデューサーさん。うん。めぐるちゃんと灯織ちゃんにも、見せてあげたかったよ……っと。あ……咄嗟のことで、全然考えてなかったです泣。願いごと……願いごと……。さっきの宣言は、お星様に願ったらダメだよね。だったら……。決まったよ。私のお願いはね。みんながいつか、六等星さんを見つけられますように……です。むんっ
鳩ネタのむんさんも,TPOを弁えれば
pSSR甘奈のとあるコミュにおいて、選択肢,コーヒーにしよう
