それでは、第五章,深夜・前
キノコ頭,な、なんだ！？
テロリストA,ぜ、前方車両で爆発です！！
テロリストB,……と、思ったら、爆発が後方に遠ざかっていった
テロリストC,ど、どういうコトだ……？
キノコ頭,…………。……あれは、爆発が遠ざかっていったんじゃない
テロリストD,え？
キノコ頭,遠ざかっていってるのは、俺たち、この列車だ。つまり。まず、前方車両のどこかで爆発の原因が発生した。ただし、爆発自体は、前方車両から外に出て、列車の外で起こった。だから実際に爆発したのは……。列車の外の木か、何かだろう。そして今、列車は爆発地点から猛スピードで遠ざかっているから。爆発が後方に遠ざかっていくように見えた……。というところか
テロリストD,お、おお……。さすがですリーダー、今の一瞬でそこまでわかるとは！
キノコ頭,たいしたコトじゃない。それよりも問題は、今の爆発の原因だ。俺たち以外に、この列車で、また暴れている奴がいるのか……？
テロリストA,例の、たけ○こ派や、アル○ォート派の連中でしょうか？
テロリストB,あ、爆発の煙だけは、車両からも出ていますね……。どうやら爆発の原因が発生したのは、６号車のようです
キノコ頭,６号車といえば、食堂車か……？飯時に、何かあったのだろうか……
テロリストC,う、うう。俺たちも腹が減ってきましたよ、リーダー
テロリストD,本当なら今ごろ、教授を捕らえて、アジトで祝勝会のハズだったのに……
キノコ頭,……そうだな。くそっ、あの忌々しいたけ○こ派や、乗務員どもめ……。奴らさえいなければ、俺たちは何の問題もなく達成し、教授の身柄を確保できたモノを……
テロリストA,リーダー……
テロリストB,……いえ、リーダー！俺たちの戦いは、まだ終わっちゃいません！
キノコ頭,……！
テロリストC,そうですよ。リーダー。こんな寒い所でクヨクヨしてるなんて、リーダーらしくもない
テロリストD,俺たちの目的は、“最強の兵器”を開発した教授の身柄を抑え、たけ○こ派を倒すコト。たとえ一度失敗しても、それは変わりません。ならばもう一度、挑戦すればいいだけです！
キノコ頭,……。お前たち……。……そうだな。いちいち悩むのも、俺らしくはなかった。ならばもう一度、襲撃を仕掛けるとしよう！教授の身柄を確保するために！。そしてたけ○こ派たちをも出し抜き、あの乗務員どもに一泡吹かせようではないか！！
テロリストA～D,おお！！！！
キノコ頭,よし。そうと決まればさっそく、もう一度……
テロリストA,え……？
キノコ頭,ん？なんだ、今の音？後ろから聞こえたな。１３号車か……？
剣使い,な、なんだ今の音！？
車掌,後方から聞こえましたね。しかし、１３号車は施錠しています。となると、屋根の上で何か……？
弓使い,シュボオオオに、ガン、か。何かが火を出してる音に……、金属音かな？
銃使い,…………
剣使い,なあ、車掌さん。さっきも、前のほうの車両で、爆発のような音がした……。この列車。ラウンジが荒らされた時みてぇに、また何か起こってんじゃねぇのか？
車掌,…………
弓使い,１号車のほうには、教授も残してるしねぇー。き○こ派に襲われてないか、心配だな
銃使い,…………
車掌,―――だとしても
剣使い,……！
車掌,だとしても。私は、士長や、新米の彼女、このドライ・ブラー号の乗務員を信じます。二人だけじゃない。食堂車には、料理長や、ウェイター、ウェイトレスたちもいる。ラウンジには、貴方たちも見たでしょう。マスターもいるし、ロビーにはフロント担当もいる。ご心配ならば、私が断言します。教授さんや乗客の皆さんのコトは、彼らが必ず守っていると
剣使い,……、…………
車掌,…………
剣使い,……そっか。アンタらも、アンタたちの絆で、繋がってるんだな
車掌,ええ。その通りです
弓使い,絆かぁー。いいよね、そういうの！同じ職場のみんなが、一つにまとまってるとかさ！。こりゃぁ私たちも負けてられないね。そう思うでしょ、銃ちゃん！？
銃使い,そうかな
