一応国際的には彼らには,孤立する権利
しかし、,ほっといてほしいならならほっといてあげるよ
彼らは現代人に比べ、免疫が不足,或は大きく異なる
コメント内容も参照する場合、同一IDの投稿は最初の一回を除いて無効とします,十分以上レスがなかった場合などはその限りではない
文化度現代文化に対する理解これが高いと現代文明の基礎理念などを理解します,みんなはこうだけど僕たちはこうする。みたいなケースも
五月雨ドジっ子コンマでぞろ目が出たときにコンマ結果を反対にできる,77を33にする。など
吹雪,痛っ！いたたっ…艦娘だからこれぐらい屁でもないけど心が痛いっ！！。だいぶ心に傷を負いました…過去に島に上陸したとかいう宣教師さんとかはこの悲しみの中死んでしまったのかな…艦娘でよかった…。でも、島民さんたちの目を見てたら化け物を見るかのような目だったし…はあ、先は長いなぁ…。さて、まずは何をするか…だけど…この文明とか文化とかそういうものが全くないような島を、現代社会の一員にしないといけない、んだよね？。一応言語学者さんに言われて似ている言語のはずだ―って言われた別部族の言語は覚えて来たけど…聞こえた範囲では全く違う者みたいだし…。建物立てたりとか、農業を始めたりとか…ああ、そういえば経済的発展もとか言われてた！。やる事が多すぎる…誰か助けに来てくれないか問い合わせてもいいかも…
安価↓1～5多数決,同数の場合コンマが一番多かった奴
2.建設島内の生活を豊かにする施設を建設します。信頼度とコミュニケーション度合いによっては島民に作業を割り振れます。,注！コミュケーション不可なため、現在は一人でできるレベルのことしかできません
3.教育島民に技術の啓蒙を行います,注！現在不可能なのでこの安価は選ばないで下さい
吹雪,まずは…何とか彼らと交流しないと…今のところの交流が囲まれて棒で叩かれるだけなんて悲しすぎるし！。とは言っても、何も考えなかったらまた髪の毛の中に大量の木の屑を練りこむだけで終わっちゃう…それに島民さん達は私を怖がっているようにも見える…。よし、この方法で…！吹雪、頑張ります！。交流、と言えば…まずは食べ物？。でも、この島で採れる食べ物を持って行ったところで島の人が喜んでくれるとは…。ううん！それでも露骨に嫌な顔はされないはずだし、少しは交流につながれば…！。うーん、この木の実は…資料によると、おそらく主食…一応憶えておこっと。でも、なんかこう…島で採れるけど島民の皆さんも喜ぶような、何か珍しいものが欲しいなぁ…
なにかみためのやヴぁいきのこ,
吹雪,…あった！。…念のため、自分で少しだけ食べてみよう、大丈夫、艦娘だから毒キノコでも大丈夫…。マツタケ、しめじー、エリンギさーん…。(ﾟ∀ﾟ)ｱﾋｬｱﾋｬｱﾋｬｱﾋｬｱﾋｬｱﾋｬｱﾋｬｱﾋｬｱﾋｬｱﾋｬ！。ｲﾔｭﾎｫｰｲｲｲｯ！ﾊﾟﾝﾂｧｰﾌｫｰｯ！！。はぁんっ…♡あっ、あへっ、ﾎﾟﾃﾁﾖｻﾄｼｸﾞﾝｯ！！。結果、このキノコは強い精神作用を持つ…ある種の薬物に近いものである事がわかりました…。島民の皆さんがこのキノコを使用した形跡が見られないことから、島民にとってもものすごく珍しいものである事は間違いないけど…
安価↓1～3多数決,同数の場合コンマが一番多かった奴
吹雪,やっぱりやめておこう、将来的に何かの材料になるかもしれないけど…。…さて、木のみを沢山持ってきました！。ただ…この島、身分も政治的な組織もないからリーダーに当たる人も居ないって資料に…どうしよう？
安価↓1～3多数決,同数の場合コンマが一番多かった奴
吹雪,そういえば、この島では男性と女性、どっちが偉いんだろう？。多くの国や部族では男性の方が偉いことが多いってイメージがあるけど…たまに女性の方が強いって事もあるし…。いっそ、子供におとうさんおかあさんによろしくね
女,！？
吹雪,あ…こ、こんにちは…。えーっと、私、吹雪って言います！あ、お近づきのしるしに、これを…。あ、えーと…これじゃあ取りにくいですね…アハハ、じゃあここに置いていきますね…これ、好きにしてくれていいですからーっ！！。はぁーっ…緊張したー…怒られたりはしてないからうまく行ったって思いたいけど…
安価↓1コンマ60,低い信頼度・簡単な内容
安価↓2コンマ下一桁信頼度変化,成功の場合上昇、失敗の場合低下
安価↓3コンマ1.1倍÷20安定度変化,成功の場合上昇、失敗の場合低下
吹雪,どうすればいいか困ってその場に置いて来た木の実だけど、次の日見てみたら無くなってたから持って帰ってくれたみたい。島の様子は特に変化はないけど…これで少しでも私を接してくれるようになれば嬉しいな。さあ、この調子で次の手を打ちます！
安価↓1～5多数決,同数の場合コンマが一番多かった奴
2.建設島内の生活を豊かにする施設を建設します。信頼度とコミュニケーション度合いによっては島民に作業を割り振れます。,注！コミュケーション不可なため、現在は一人でできるレベルのことしかできません
3.教育島民に技術の啓蒙を行います,注！現在不可能なのでこの安価は選ばないで下さい
吹雪,一応前回の事で少しは受け入れてもらえたかな…？。でも、結局相手が何を考えているか分からないし、たぶんそれは相手も同じことなんだよね…？。よし、もう少し交流出来ないか方法を考えてみます！
歌でも歌うか,あさり♪シジミ♪ハマグリさーん♪
>>51歌でも歌うか,あさり♪シジミ♪ハマグリさーん♪
吹雪,そういえば…彼らは歌とか歌うのでしょうか？。3万年前には笛があった、とかいうし…案外歌ってみたら乗ってきたりして…！。皆さん！
男,！？
吹雪,住居の前に飛び出てきたらそりゃ驚くよね…女性が子供の手を引いて逃げて、男の人が武器を持ってやってきた！攻撃されてからじゃ遅い、攻撃される前がチャンス！。あっさりー、しっじみー、はっまぐっりさーん
男,！？
吹雪,あっさりー♪、しっじみー♪、はっまぐっりさーん♪。あっさりー♪、しっじみー♪、はっまぐっりさーん♪
男,
吹雪,あっさりー♪、しっじみー♪、はっまぐっりさーん♪さあみんなもっ！！。なんかみんな死んだような目でこっちみてる！せめて逃げるか攻撃するかしてっ！！なんかすごい恥ずかしいっ！！
安価↓1男性への受け具合70,-25、それなり美少女
安価↓2女性への受け具合70,-25、それなり美少女
安価↓3子供への受け具合70,-25、それなり美少女
吹雪,いあいあくとぅるふぐふたん！
男,！！
女,！！！！
吹雪,痛っ！痛い！やっぱり心が痛い！弓矢やめて！
男,！？
幼女,さー、み…？
幼児,りー、みー、さ…ん♪
吹雪,
男,
女,
幼女,あー、りー、じー、さーん♪
幼児,りー、みー、ぐりー♪
吹雪,子供たちがうろ覚えながら、歌っぽい言葉を口ずさむのを見て、大人たちは子供を掴んで逃げていきました。子供には受けたけど、大人には…不気味な歌に思われたのかな…？。この時はわかりませんでしたが、のちのちこの時、子供が悪い魔術かなんかにやられたと思ったらしい大人たちは子供が歌うのを禁じようとしていたみたいです。
安価↓1コンマ50以上で吹雪は,子供たちの認識謎の面白生物
吹雪,たまに、たまーに、子供が私の歌を口ずさんでる…。その度に叱っているみたいな大人たちの反応…少し心苦しい…。でも、相手がどんな感情を持っているか、ぐらいはわかるようになったし、これはきっと大きな成果…。見ていてください司令官！吹雪はこの島の人々に受け容れられて見せます！。そしてゆくゆくはこの歌を、独立したこの島の国歌に…あ、冗談です！
安価↓1～5多数決,同数の場合コンマが一番多かった奴
2.建設島内の生活を豊かにする施設を建設します。信頼度とコミュニケーション度合いによっては島民に作業を割り振れます。,注！コミュケーション不可なため、現在は一人でできるレベルのことしかできません
3.教育島民に技術の啓蒙を行います,注！現在不可能なのでこの安価は選ばないで下さい
吹雪,文化的な…文明的な生活には、色々な建物とかも必要…。今島内にある建物と言えば、木の骨組みの草の壁と屋根の住居だけだけど、住むだけ以外の用途の建物とかも必要かもしれない…！。そういえば…この島にはお風呂がありません。一応島の人たちはスコールの時とかに体を洗っているので、体を洗うという考えはあるみたいです。かくいう私も…。今日の仕事は終わり！はぁ…疲れたなぁ…それに…。ちょっと匂うかも…あまり気にしてなかったけど、そういえばここにきてから一度もお風呂に…。んーっ！きもちいい！。雨降った直後とか濁って入る気にもならなかったけど…ここの湖ってすっごいきれいなんだよねー！。そういえば川もあるし…何かに使えないかな？雨降った後はアレだけど…。だ、だれっ！
子ども,
吹雪,
子ども,
吹雪,島の子供かぁ…よかったぁ…あ、でも…これが男の人だったら…キャーッ///。そうだ、風呂、作ろう。うおおおおおおおおっ！
木,
吹雪,ふぅ…ふぅ…ふぅ…これだけあれば、ちょっとしたお風呂ぐらいはできるよね…？。水は川から組んできて…燃料も私の擬装のボイラーで…将来的にはあーやってこうやって…。この木は…こう！。これは…こう！。はーっ、はーっ…ノコギリとか、持って来ればよかった…けど…ん？
幼児,
吹雪,
幼児,あ、あさー、みー、…さん！
吹雪,あ、あさりー、しじみー、はまぐりさーん
幼児,りー、みー、さん！
吹雪,…。出来ました！これが…この島最初のお風呂！吹雪湯、です！。早速入ってみよう！。ふぁぁぁ…久しぶりのお風呂、きもちいぃぃぃ…///。問題は、島の人たちが、入浴という事のすばらしさに気付いてくれるかどうか…うまくいけばみんなでもっと大きなお風呂も作れるはず…！
男,
吹雪,！？
男,。！？！？
吹雪,あ゛ー！それ飲んじゃダメーっ！！
安価↓3コンマ下一桁技術力上昇,奇数の場合上昇無し
吹雪,結局、島の人たちはまだお風呂というものをよく理解していないみたいです…今のところたまに私が使うだけ…。まあ、それでもなんか仲良くなれた気はするからよしとしよう！
安価↓1～5多数決,同数の場合コンマが一番多かった奴
2.建設島内の生活を豊かにする施設を建設します。信頼度とコミュニケーション度合いによっては島民に作業を割り振れます。,注！コミュケーション不可なため、現在は一人でできるレベルのことしかできません
3.教育島民に技術の啓蒙を行います,信頼度・コミュニケーション度合いが低いと失敗しやすくなります
吹雪,ある程度島の人も私のことを受け入れてくれた気がする…。でも結局、吹雪湯を使う人はいないし…まあ水を汲んで火を起こして―って言うのも何も知らないと無理だよね…。やっぱり、最低限知識が無いと…本当に文明的な現代社会の仲間入りは出来ない…！。言葉は通じなくても、身振り手振りで教えれることはあるよね…！。そういえば…お風呂に入るとかそれ以前に、島の人々は火についてどれだけ知ってるんだろう？。見た所火を起こしている様子は見られないけど…。まずは掴み！
男,興味
吹雪,よし！みんながこっちを見てる！。まずは木を用意します。それをこうやって…こう！。はぁぁぁぁぁぁっ！
男,呆れ
吹雪,ああっ！言葉通じないのになんかすごい目線が痛い！
島民たち,！？
吹雪,ふーっ！ふーっ！
男,あああああああああああっ！
女,きゃぁぁぁぁぁっ！
子供,わぁぁぁぁぁんっ！
吹雪,みんな火が怖いという事は知っていたみたいです
男,あ゛あ゛あ゛あ゛あ゛!!
吹雪,…。木を取り直してもう一度！はぁぁぁぁっ！
男,恐怖
吹雪,さ、さすがに…連続でこれは、ちょっと疲れるかも…！
男,。あああああああああああっ！
女,きゃぁぁぁぁぁっ！
子供,わぁぁぁぁぁんっ！
安価↓2コンマ÷2信頼度変化,失敗でマイナス、成功で上昇
吹雪,島民の皆さんは火を起こして食べ物を焼く、という事を憶えました。火に水をかけると消えることも知っていたみたいで、大きな草に水を汲んでそのそばで使っているみたいで一安心です
安価↓コンマ50-評価,48
安価↓1～3コンマ一番高いものの下一桁分、全数値アップぞろ目が出た場合二倍,全部ぞろ目だと三倍
安価↓1～5多数決,同数の場合コンマが一番多かった奴
2.建設島内の生活を豊かにする施設を建設します。信頼度とコミュニケーション度合いによっては島民に作業を割り振れます。,注！コミュケーション不可なため、現在は一人でできるレベルのことしかできません
3.教育島民に技術の啓蒙を行います,信頼度・コミュニケーション度合いが低いと失敗しやすくなります
吹雪,最近、島の人たちが話しかけてくれることが増えました。まだ何を言っているか、ほんの少ししか分からないけど…。何とか皆さんの言葉をまねして、少しだけ此方の意図も伝わるようになったみたい。こんにちは、から始まる…司令官も言ってましたね！
>>123開墾残念ながら>>127の言われている通り、建築,或は教育
男,アサリ、肉、捕食、可不可
吹雪,えーっと、あ、私、お肉食べれます、ありがとうございます…
男,体力、歯、アサリ
吹雪,あ、ははは…生肉ってまともに食べた事無いんだけど…
女,シジミ、シジミ、雲
女2,シジミ、類似、良好
幼女,ハマグリ、謎、甲羅
吹雪,あ、ははは…こんにちは…甲羅って何だろう？
少年,さーん！芋！
少年2,雲…芋…
吹雪,えーと…自己・ふぶき・えーとえーと…楽しい…？
男,アサリ、楽しい、悪い、否定
女,サーン、予想外、人
吹雪,えーとえーと…アサリ・シジミ・ハマグリ・サーン…吹雪
男,アサリ！
吹雪,うえっ！げほっ！げほッ！もう…なんなのこれぇ…
女,雲
安価↓2コンマ下一桁信頼度上昇,失敗時はその半分
幼女,フブキ、火、見る、希望
吹雪,え、えーと…家族、共に、不可！
幼女,えぐっ
吹雪,あ、えーとえーと、ほら、泣かないで！お父さんかお母さんと一緒だったら見せてあげるから…ね！。今日は川もきれいだし…お風呂に入ろう！。あっさりー、しっじみー。はまぐり…はッ！
少年,。ハマグリ！
吹雪,まって！違います！私は吹雪ですー！！
安価↓1～5多数決,同数の場合コンマが一番多かった奴
2.建設島内の生活を豊かにする施設を建設します。信頼度とコミュニケーション度合いによっては島民に作業を割り振れます。,注！コミュケーション不可なため、現在は一人でできるレベルのことしかできません
3.教育島民に技術の啓蒙を行います,信頼度・コミュニケーション度合いが低いと失敗しやすくなります
吹雪,どうも島の人は、私のことを吹雪、そして何かをしているときはアサリ・シジミ・ハマグリ・サーンと呼ぶことに決めてしまったみたいです…。でも…いくらか話せるようになったとはいえ、甲羅や雲、芋…まだまだ勉強不足なのか、分かっているようで分からない単語がいっぱい…。でも、なんかだいぶいい感じ、この調子でどんどん行こう！。皆さんを観察していて気がついた事があります。みんな吹雪湯を使い始めた…がっ！。みんなお湯を沸かして飲むことしかしてない！！。まあ罐部分はそのために作ったみたいなところもあるから正解と言えば正解だけど…私は100点を上げたい！。と、言うわけでお風呂というものの使い方について教えてあげたいけど…。そもそも、お風呂の入り方なんてどうやって教えればいいんだろう？。とはいえ…やっぱり見ないと覚えないし…かといって一緒にお風呂に、キャーッ///。って、女の人も居るから女の人と一緒に入ればいいね…。というわけで、適当に一人女性を捕まえて来ました！なんでもお湯は薬か何かに思われているみたいで、湯沸かしは女の人が良くやっているんです。というわけで…レッツゴー！吹雪湯！
女性,困惑
吹雪,というわけで…まずはこの壁の裏側に入ります！
女性,謎、空間…
吹雪,違います！死にません!!。そしてここで服を脱ぎます！あ、最初っからすっぽんぽんなお子様は脱がなくて大丈夫です！
女性,驚愕
吹雪,あのー…なにか…？
女性,シジミ、雲。吹雪、小さい、未熟、隠す、ない
吹雪,今やっと理解しました、私の服は皮膚か何かだと思われていたみたいです…そして、子供のくせになぜ服を着ているのかと怒られてしまいました…
女性,上半身！丸み！無！下側！髪の毛！無し！隠す！不要！
吹雪,わかりましたよ！脱ぎました！全裸！全裸です！
幼女,雲、雲、雲
幼児,ボッコ、なし、不思議
吹雪,あ゛ぁ゛ぁ゛ぁ゛ぁ゛ぁ゛ぁ゛!?
女性,水、入る、死！
吹雪,死なないよー！ほら、首から上を出してたら大丈夫！あったかいよー！
幼児,ぶくぶく
吹雪,君は私が抱っこするからー
女性,恍惚
幼女,わぁぁぁんっ！
幼児,///
吹雪,そ、そんなに引っ付かなくてもだいじょ…んぅっ///そこは、触っちゃダメれすぅ…///
女性,サーン、未熟、未解読単語
安価↓2コンマ÷5信頼度上昇,失敗時は÷10
安価↓3コンマ÷20文明度上昇,失敗時はなし
安価↓4コンマ下一桁文化度上昇,失敗時はなし
女性,吹雪、薬の水、かわいい・愛らしい的単語！
女性2,ハマグリ！アサリ！
吹雪,吹雪湯に入るとみんな美形に！その結果…。吹雪湯は大量の人がひしめいた圧力で崩壊してしまいました…
安価↓1～5多数決,同数の場合コンマが一番多かった奴
2.建設島内の生活を豊かにする施設を建設します。信頼度とコミュニケーション度合いによっては島民に作業を割り振れます。,注！コミュケーション不可なため、現在は一人でできるレベルのことしかできません
3.教育島民に技術の啓蒙を行います,信頼度・コミュニケーション度合いが低いと失敗しやすくなります
吹雪,何とか吹雪湯は再建にこぎつけました…今度は10人ぐらいで入れます！おかげで私がお風呂に入れるタイミングは減りました…。そして、お風呂に入る事でいいことが一つ、体調を崩す人の割合がわずかながら減りました、やっぱりお風呂って…いいですね！。でも、島の大人はたまに服を脱ぐように要求してきます…どうも服は大人が着る物であり、私は子供扱いされてるみたいです…
幼児,フブキ、泣くな、木のみ、喰うか？
吹雪,そういえば、島の人たちに食料を分けてもらったことはあるけど、一緒に食事したことはなかったな…。えっと、島の人たちの主食は…。そして最近は、焼く、煮るといった調理体形もあって…よし、一緒にご飯を食べてみよう、何かわかるかも…！。とりあえず…木の実に芋も収穫できた！。この島、生活拠点が一か所に集中してるからか反対側は人が来なくて大漁、大漁です！
リス,…
吹雪,っ！。リスの毛皮は簡単に剥げるんだよねー。かつて崩壊した吹雪湯ですが、今ではさらに大きくなってパワーアップしていました。最初は3～4人しか入れなかった湯船が20人ぐらい入れる大きさになり…。お湯を沸かす釜は数が増え、料理などにも使われています。そして、部屋が増えて…今では島民の皆さんの談話室みたいなものまで…
男,吹雪、よくきた、ここすわる、いい
吹雪,あ、ありがとうございます。これ、つまらないものですが…
女,芋！木の実、たくさん、どうやって？
吹雪,まあ、色々頑張って…
島民たち,アサリ・シジミ・ハマグリ・サーン…
吹雪,いつの間にか私の名前からお祈りの言葉になってる…
