悪魔ほむら,以下“ほむら”
QB,そんなに警戒しないでよ。まぁ、君たちの言うところのちょっとした与太話だとでも思って暫く付き合ってよ
ほむら,……それで私に、何かしらの利益があるのかしら？
QB,ある意味で君にとっては利益であるとも言えるし不利益であるとも言えるかな？まぁその点の判断は、君次第っていったところだね
ほむら,……まぁいいわ、続けなさい。そのかわり、くだらないと判断したら即刻強制終了させるわよ
QB,その点はご随意に、って言っておくよ。それで話を戻すけど、まず君はシュレーディンガーの猫って話は知ってるかい？
ほむら,……１匹の猫を１時間後に50％の確率で自動的に毒ガスが発生する装置付の箱に閉じ籠めたとした場合、閉じ籠めてから１時間後の箱の中には実際に開封するまでは。といったような矛盾する様々な世界が同一の時空軸に同時に存在している……とかっていう理論だったかしら？
QB,詳しく突き詰めると、放射性物質ラジウムとかガイガーカウンターなんて用語も出てくるんだけど、まぁ大雑把に言えばそんな感じだね。そして、ここからが本題だ。覚悟はいいかい？
ほむら,何……を、覚悟しろっていうのかしら？
QB,聡明な君のことだから、薄々は気付いているんじゃないのかい？そのシュレーディンガーの猫の逆説的定理においては。パラレル世界というものは決して存在をし得ない！！。そもそもパラレル世界の定義を考えてみた場合、それを維持するためのエネルギーが、ひとつの問題となって来るんだ。まず平行線世界があるとした場合、いまボクたちが認識しているこの世界のすぐ隣には、万物の事象のうち不特定の誰か１人の片方の靴下の色が違うだけの差異しか無い世界が存在することになる。そしてそのすぐ隣には、その不特定の誰か１人の片方ではなく両方の靴下の色が違うという差異しか無い世界。さらにそのすぐ隣には両方の靴下と履いているズボンの色……というようにね。シュレーディンガーの猫のようにたった４つ程の可能性というわけではなく、最初の例だけにしても色を突き詰めれば、白であったり黒であったり、はたまたグレーであったりそれ以外の色であったりと数えきれないほど無数に差異は存在するんだ。たった１人の人間のほんの些細な差異に着目するだけでもほぼ無限に近しい数になるんだよ？それが宇宙規模でずらーっとあるとするのなら、それを維持するためのエネルギーはどこから来るっていうんだろうね？。だからこその、その逆説的定理という話になってくる。シュレーディンガーの猫では箱を開けるまでは４つの平行世界が混在しているけど、いざ箱を開けてみた瞬間、箱の中が１の状態であったとするならば世界は１へと集約する。２、３、４の世界は消滅し存在しなくなるというわけさ
ほむら,……それをいうなら開けてみた瞬間の箱の中が２の状態なら２の、３の状態なら３の、４の状態なら４の世界へと集約するんじゃないの？
QB,仮定の上ではね。でも重要なのは“世界がどの状態になったか”ではなく“世界がならなかった可能性はどうなるのか”ということなのさ。この例でいうなら世界が１になれば２・３・４の、２になれば１・３・４の、３になれば１・２・４の、４になれば１・２・３の世界は消滅して存在しなくなる。もし選んでいたら……という“たら・れば”の概念自体が無くなるんだ。世界は、歴史は、数多の万物・万象の選択の集約によって成り立っている。だからこそ、本質的には平行世界というものは有り得ない筈なんだよ？。そしてだからこそ、ボクが何を言いたいのかは、もうわかっているんじゃないかい？。ねぇ、そうだろう？。時間遡行の悪魔暁美ほむら。“鹿目まどか”と過ごした時間のやり直しを願い、時間遡行の能力を持つ魔法少女としてボクたちと契約を結んだ。ちょっと前にそんな風に、君は話してくれたよね？
ほむら,……ええ、そんなこともあったわね…………
QB,そして、何度その時間のやり直しを重ねても自らの切望する結果には到達出来ず、寧ろ時間遡行の回数を重ねる度に、“鹿目まどか”の魔法少女としての素質が飛躍的に上昇していった……。とも
ほむら,そう、その通りよ……。１番初めに出会った時のまどかはごく平凡な魔法少女で、その素質は巴マミや佐倉杏子と比較すると寧ろ低いほうだった……。それなのに……。私が時間を遡る度に、まどかの魔法少女としての素質は信じられないほどの速度で上がっていった……。この私がまどかを最強の魔法少女に、最強の魔女にしてしまった……っ！？
QB,それはそんなに、悲観することでもないさ。寧ろそれでボクたちが回収している“宇宙の存続に必要とするエネルギー”の質を高めてくれたというのなら、それは胸を張って誇りに思ってもいいくらいに最上の功績だ
ほむら,おま…えは～～～……っ！！
QB,何かボクは、君の触れられたくたい琴線に触れてしまったかな？
ほむら,おまえさえ……、おまえたちさえいなければ…………！！！！
QB,それでも、いまボクが言ったことはそれこそ、妄言でも虚言でもない
ほむら,……黙…れ…………
QB,君の話してくれた世界が実際にあったことであるとした仮定に基づいて導き出される……。純然たる事実だ
ほむら,黙れって、言っているでしょうっ！！！！。ハァ……、ハァ……
QB,おっとっとっ、酷いなぁ～、いきなり潰そうとしなくてもいいじゃないか
ほむら,言っ…たはずよ？くだらない話をしたら、強制終了させるって
QB,その割りには、話の内容がくだらなかったから…ではなくて、耳に入れるに耐えがたいほどに痛かったから衝動的に、って感じだったけど？
ほむら,……ッ！！！！
QB,まぁ、いいや。それよりも、主題より話が逸れ過ぎたね。一旦、話を元に戻そうか。平行線世界、所謂パラレルワールドというものは存在し得ない。それがボクたち“インキュベーター”の総体の考えだ
ほむら,愚問ね！私はおまえたちが存在し得ないと結論付けている平行線世界に、いちいち数えるのも莫迦らしくなるぐらい何回も移動を繰り返していたのよ？。それをどう、説明するというのかしら？
QB,君はそう言うけれど、君以外の第３者に妄想や絵空事、理論上の確率としてではなく実際にその平行線世界を認識させる手段が無い以上、君以外の者にとってそれは“君の頭の中だけにある想像の産物”に過ぎない
ほむら,それを言うなら、“平行線世界が無いということを第３者に認識させる手段が無い以上、平行線世界の存在も否定できない”ということになるのじゃないかしら？
QB,そのあたりは君を目の前にして言うのも滑稽だけど、まさに“悪魔の証明”ってところだね。でも、これからの話で重要なのはその部分じゃないんだ
ほむら,……どういうことかしら？
QB,ねぇ、ほむら？。君は本当に一度も、不思議に思ったことは無いのかい？。時間遡行を願い魔法少女になったはずの自分に何故、“やり直し時間の起点から特定の終点までの間であれば自由に時間を停止させることが出来る能力なんてものがあるのか”ということに
ほむら,そ…れは……
QB,“平行線世界を移動する能力”っていうのでは、その点は説明がつかないよね？。だからこそ、ボクたちは“平行線世界というものは存在し得ない”と主張するし、君の能力は“平行線世界を移動する”なんてものじゃないとも主張する
ほむら,だったら、何だと……
