・,アイドルマスターシンデレラガールズ
高森藍子,失礼します
道明寺歌鈴,あっ、藍子ちゃん！おはようございましゅ！……あぅ
藍子,ふふっ。おはようございます、歌鈴ちゃん
歌鈴,あはは……朝一番から噛んでしまいました……
藍子,ですね。……でも、よかった
歌鈴,はい？
藍子,歌鈴ちゃんが元気そうで。昨日、次のお仕事のお話をプロデューサーさんから聞いたときは、とっても不安そうにしてたから……
歌鈴,……ふっふっふ……
藍子,……歌鈴、ちゃん？
歌鈴,実はですね。私、今回はある秘策を用意しているんです！
藍子,秘策、ですか？
歌鈴,はいっ！これでもう、ドジでノロマな歌鈴からは脱却できるに違いありませんっ！
藍子,はぁ……。それで、その秘策っていうのは、一体どういうものなんでしょう？
歌鈴,それはですね！たぶん、もうそろそろ……
池袋晶葉,できたぞ歌鈴！半径5m以内にバナナがあると警報で知らせてくれる装置だ！
藍子,えぇぇっ！？
歌鈴,うぅうぅぅ～……
藍子,し、仕方ないですよ。あんなに大きなヘッドセット型の装置を付けて収録したら、すごく目立っちゃいますし……
歌鈴,でも！そうでもしないと、きっと失敗しちゃいますよぉ……
藍子,やっぱり、不安だったんですね……
歌鈴,だって！まさか私たちが、アイドルデュオユニット対抗☆大運動会に出場するなんて……！
藍子,私も、インディゴ・ベルを選んでもらえるとは思っていませんでしたから、驚きはしましたけど
歌鈴,しかも、競技の中によりによって、二人三脚があるだなんて……！こんなの、どう頑張ってもコケちゃうやつじゃないですかぁ！
藍子,それは……あ、あはは。うーん、否定はできないなぁ……
歌鈴,自分がドジして笑われるだけならともかく、藍子ちゃんを巻き込んじゃうと思うと、もう気が気じゃなくて……
藍子,そんな、気にしなくてもいいのに
歌鈴,気にしますよぉ……くすん
藍子,それで、晶葉ちゃんに頼ったんですね。……でも、二人三脚で転ばないようにっていうのに、バナナは関係なかったんじゃないですか？
歌鈴,そんなことないです！バナナは……バナナは神出鬼ぼちゅ……鬼没、ですから。常に警戒しておかないと！
藍子,大袈裟ですよ……悪魔かなにかじゃないんですから
歌鈴,たとえば、前の競技が借り物競争で、お題にバナナがあったとしたら！コースにバナナの皮が残っててもおかしくないですし！
藍子,……それって、借りた後、走りながら食べてるってことですか？
歌鈴,あるいは、バナナ食い競争なんかがあったりしたら、もう……！
藍子,パンじゃなくて
大原みちる,パンの話ですかっ！？
藍子,わっ！ち、違いますっ
歌鈴,ちょっと、転ばないようにするための話です！
みちる,チョココロネ！？
藍子,聞き間違いがやんちゃすぎません？
歌鈴,……こうなったら、事務所にいる他の子にも話を聞いて、ドジしないための必勝法を編み出して見せますっ！
藍子,あっ、えっ！？か、歌鈴ちゃん！待ってください、私も行きます～！
浜口あやめ,ふむ……なるほど。ドジをしないための秘術を学びたいと
歌鈴,はいっ！あやめちゃんなら運動神経もいいし、何かいい方法を知ってるんじゃないかと！
あやめ,これまで数々のお仕事を共にしてきた盟友、歌鈴殿の頼みであれば、わたくしも協力を惜しまないところなのですが……
藍子,何か、問題でも……？
あやめ,ああ、いえ。ただ……くノ一にお色気が欠かせないように、歌鈴殿とドジは切っても切れない関係といいますか……むしろそれが歌鈴殿の魅力のひとつなのではないかと
歌鈴,そんなぁ！
あやめ,あっ、いい意味で、ですよ！いい意味で！
藍子,そうそう。歌鈴ちゃんのドジって、不思議と周りを和やかな空気にしてくれるから、大丈夫ですよっ
歌鈴,あうぅ～……で、でもぉ……
あやめ,そうですね……そこまで仰るのでしたら、わたくしにひとつ策があります。歌鈴殿、これを
歌鈴,こ、これは……！？
あやめ,あやめ特製の煙玉です！もし転びそうになった時は、これをお使いください！転ぶところを誰にも見られなければ、それはもはや、転んでいないのと同じこと！
歌鈴,な、なるほど……！さすがです、あやめちゃん！
藍子,……あのぅ、それって、かえって目立ってしまうんじゃ……？それに、二人三脚のタイムは結局変わりませんし……
あやめ,むっ、そうですか……でしたらここはひとつ、走りやすくなるように、縄抜けの術を会得すれば！
藍子,それはたぶん、反則になっちゃいますね
歌鈴,そ、それは困りますっ！ちゃんと二人で協力して、って、あっ
藍子,え？
あやめ,あわわ、落とした衝撃で、煙玉が……けほ、けほっ！
藍子,こほっ、か、歌鈴ちゃん、大丈夫ですか……？
歌鈴,ひぃぅっ！ご、ごめんなさ……ぶほっ！
矢口美羽,一発ギャグですっ！
藍子,……はい？
歌鈴,ギャグ……ですか？
美羽,いいですか？例えば走っている途中に、こう、派手に滑ってしまったとします
歌鈴,は、はいっ
