姫川友紀,た、ただいまぁ……
二宮飛鳥,戻ったよ……
大槻唯,おっかえり～☆遅かったねぇ
飛鳥,……大分、押してしまったか
友紀,新曲の合わせがねぇ……あれ、唯ちゃんだけ？
唯,今はねー。誰か来たら、お留守番替わってもらおうかと思って！
友紀,そっかぁ…
唯,……なーんか、ふたりともグロッキーじゃない？
友紀,うん……疲れたぁ
唯,そんなに？
友紀,かなり絞られたよ……
飛鳥,本番目前だからね……
唯,あっちゃー、大変だったんだぁ。……ゆっきーは、大丈夫なん？
友紀,へ？あたし？
飛鳥,……
友紀,まぁ、そりゃー練習はキツかったけど。なんで？
唯,……そっか。ううん、何でもない！ゆい、今日レッスンじゃなくて良かったなぁ～
飛鳥,明日は我が身だぞ……
唯,ワガミ？何の紙？
飛鳥,そうじゃなくて
友紀,次は唯ちゃんの番だぞー！ってこと
唯,まじで？こわ～…
友紀,ふぅ～……今日はもうくたくただよ
飛鳥,……こら、ソファに寝るな。ボクの座るスペースが無くなるだろう
友紀,あー、あー。キコエナーイ
飛鳥,全く…
唯,飛鳥ちゃん、ゆっきーの上に乗っちゃえば良いんじゃね？
友紀,げっ
飛鳥,断る
友紀,ほっ…
唯,んじゃーゆいが座っちゃおーっと。どーんっ！
友紀,のわっ？！
唯,へへーん、ゆっきーそふぁーだぜーぃ♪
友紀,やー！
唯,うりうり～
友紀,やーめーてー♪
飛鳥,充分元気じゃないか
友紀,いーやー！重いよーっ！！
唯,なんだとーぅ？失礼だなー！
友紀,どいてよ唯ちゃーん！超重い、５千キロくらいある！
飛鳥,ゾウか
唯,むー。女の子に向かってそんなこと言うゆっきーは……こうだ☆
友紀,ふぇ……あはっ、ちょ、ゆいちゃやめ、……あっはははは！？
唯,それそれー！こちょこちょ～♪
友紀,くふ、やめて……いひ、にゃはははは
唯,参ったかー！重くないって言えー☆
友紀,ひっ、ひ、ふひひ、ギブ、ギブ……息できない、助けてぇ……
飛鳥,……やれやれ。午後は、アーニャたちと合流する予定じゃなかったのかい
唯,うん、そだよ？
飛鳥,なら……
唯,行くけど、こっちを倒すのが先！
友紀,か、軽い、唯ちゃん軽い！だからさ、降りて…、
唯,ホントー？
友紀,ひゃんっ！？ほ、ほんとだって！５キロくらいまで落ちたよ？！
飛鳥,ネコか
友紀,そうそう、猫ちゃん！
唯,マジかー！ゆいにゃんだにゃーん☆
友紀,キャッツとねこっぴーと、ついでにみくちゃんに免じてここは……ね？
唯,うーん……しょーがないにゃあ。よっと
友紀,っはぁー、解放感……
唯,次言ったら、ガチでおこだかんね？
友紀,ごめんなさい……って、なんで乗られたあたしが謝る羽目に……
唯,座り心地良かったから、許してあげる☆また座らせてね！
友紀,えぇ
唯,へーんーじーはー？
友紀,はいぃ…
唯,はーいオッケー！それじゃゆい、アーニャちゃんとこ行ってくるから！じゃーねっ♪
飛鳥,ああ。また
唯,ゆっきー、飛鳥ちゃん、まったねー！
友紀,た、助かった……
飛鳥,お疲れ様
友紀,うん……疲労度３割マシだよ……
飛鳥,口は災いの元、ってね
友紀,そうだね、気を付ける。助けてくれてありがと、飛鳥ちゃん
飛鳥,別に、そんなつもりじゃないさ
友紀,それでもだよ。ありがとね
飛鳥,……そう。まぁ、元気なようで何よりだ
友紀,……いやいや、今のですっごく疲れたんだけど？！
飛鳥,ああいや、それだけではなく
友紀,へ？
飛鳥,……えぇと、その。最近のキミは、どうも気が張っていたようだったから
友紀,あー…
飛鳥,LIVEも近いし、会場が会場だ。レッスンに気合が入るのも理解るけど……あまり根を詰めすぎるのも、見ていて忍びない。……と、ボクは勝手に思っていたわけだが。どうやら杞憂だったみたいだね
友紀,……ん
飛鳥,さっきの唯も、きっと、そうした気持ちの現れだったんじゃないかと思って。勿論、これはボクの憶測に過ぎないが
友紀,そうだね、……うん。みんなに心配かけちゃってたかも。ゴメン
飛鳥,謝るようなことじゃあない。ボクが勝手に気になっていただけ
友紀,んじゃ、あたしも勝手に謝る！ごめんね、ありがとっ
飛鳥,む……
友紀,へへ
飛鳥,それにしても……相変わらず、凄まじいコミュニケーション能力だな
友紀,唯ちゃん？
飛鳥,あぁ
友紀,うんうん、すっごいよね。びゅーんって投げて、ばしーん、ばしーん、ストライク！バッターアウト！みたいな
飛鳥,さっぱり伝わらないんだが
友紀,勢いがすごいってこと！グイグイだよ、ぐいぐい！
飛鳥,……ああ、そういう
友紀,でもそれでいて、離れるタイミングも絶妙なんだよね、あの子
飛鳥,それは理解る気がするな
友紀,こう、絶対嫌な気分にならないっていうか。心地いい距離感？みたいな
飛鳥,一種の才能だろうね……
友紀,友だち作るの、きっと上手なんだろうなぁ。すぐ打ち解けて仲良しになっちゃう！
飛鳥,……確かに。ボクなんかとは大違いだ
友紀,んー……それは、そうかもしれないけど
飛鳥,彼女ほど激しい接触を試みた記憶、ボクには無いな……
友紀,まぁまぁ。そういうタイプの子だっているよ
飛鳥,ああ。親睦の深め方、歩み寄り方なんて人に依るさ
友紀,そうそう、人それぞれ……。…
飛鳥,……
友紀,………
飛鳥,……何か？
友紀,ふふ
飛鳥,ななんだ急に
友紀,あー、ごめんごめん。へへへへ
飛鳥,突然笑い出すなんて、気味の悪いヤツだな……
友紀,だからゴメンって。ちょっとね
飛鳥,はぁ
友紀,飛鳥ちゃんとはどんなだったかなーって思ったら、昔の事思い出しちゃった
飛鳥,昔？
友紀,ほら、ちょうど事務所でさ。こんな具合に
飛鳥,……あぁ、成る程
友紀,ね？なんか、久しぶり！
飛鳥,そうだね。……フフ、そうだった
友紀,あー！飛鳥ちゃんも笑ってるじゃん！
飛鳥,はは、これは失礼。つい、ね。この部屋も、最初はボクらだけだったな
友紀,いつの間にかメンバーもいっぱい増えて、賑やかになっちゃったけどねー
飛鳥,フッ。あの頃が、１番静かだったよ
友紀,ふたりきりで話すってのも、結構ご無沙汰じゃない？
飛鳥,そんな気がする
友紀,飛鳥ちゃんと一緒に練習して歌って踊るの、もしかしたらすっごい久しぶりなんじゃないかなーって。あたし、ちょっと思ってたんだ
飛鳥,……実は、ボクも。少しだけ
友紀,やっぱり？へへ、奇遇だね
飛鳥,まあ……立つ舞台を同じくするのであれば、当然の帰結だろう。普段通りのスケジュールなら、こうはならないさ
友紀,そうだねぇ……すっかり忙しくなっちゃって
飛鳥,忙しさだけじゃない。適材適所、それぞれの仕事に得意分野、それぞれの領域。能力も需要もまるで違う。駆け出しだったあの頃のように、いつまでも同じレッスンを受けているような初心の段階でもない、ということ
友紀,最初の頃かぁ……。レッスン帰りとか、よくふたりで鉢合わせてたよね
飛鳥,あぁ。たまに一緒になった日は、此処でこうして、
友紀,こうやって、ソファでぐだー……っと
飛鳥,……寝転がっていたのはキミだけだったろう
友紀,あ、あれ？そうだっけ
飛鳥,そうさ。ボクは座って休んでいただけ、一緒にしないでもらいたいね
友紀,ちぇ、そっかー
飛鳥,そのまま寝オチして、此処で一晩過ごす羽目になった人が過去に居たらしいけれど。一体、何川の誰さんだったのかな
友紀,うわわっ、その話はナシ！やめ！チェンジで！
飛鳥,ふふ。そうかい。……最も。以前は、こんなに和やかに話をしていた間柄でもなかったような気がするけれど
友紀,だねー。飛鳥ちゃん、さっきまで本読んでるかと思ってたのに、気付いたら居なかったりするんだもん。話しかけるタイミングがなぁ
飛鳥,事務所に着いたかと思えば、やれ球場だ公園だと出かけるようなヤツにだけは言われたくない
友紀,おっと、そうでしたそうでした
飛鳥,お互い様さ。向いてる方向が真逆すぎたんだ、あまりにも。趣味も趣向も、見ているセカイは別次元。噛み合うハズが無い
友紀,あはは。否定はできないや
飛鳥,当時は平行線だと信じて疑わなかったのに。一体いつの間に、こんなに近しくなってしまったのやら
友紀,あたし、飛鳥ちゃんとはそんなに仲悪いつもりじゃなかったけどなぁ
飛鳥,え？
友紀,確かにさ、もしかしたら避けられてるのかなーとは薄々感じてたけど。……キャッチボール、全然付き合ってくれないし
飛鳥,だから、興味が無いだけだと何回言えば
友紀,でもいざ話してみれば、すっごい良い子だったし！きっと仲良くなれるなって、あたしは思ってた！
飛鳥,……そうかい
友紀,うん、そうだ♪
飛鳥,仲良く、か……。そうだね……そう。キミはそういうヤツだった。押しが強いだけかと思えば、引き際の見極めも案外早い。どこまでも平等で、壁が無くて。唯とはまた別のベクトルで、距離を保つのが上手くって
友紀,そ、そうかな
飛鳥,……たまに鬱陶しいけれど
友紀,えっ
飛鳥,だがそれすらも、程良いアクセントに昇華できている。きっとキミの人柄故なのだろうな
友紀,……褒められてる？
飛鳥,それなりに
友紀,う、うーん……面と向かってそんなこと言われると、なんか恥ずかしいんだけど……
飛鳥,おや。姫様は御羞恥であられるか
友紀,ちょ、やめてよ！そういうの、マジで向いてないんだからさぁっ？！
