幼馴染,だ～～れだｗ。声だけじゃわかんないだろうなぁ。５年くらい会ってないし。ふふふふ。へっ？。ご、ごめんなさい…。あれ？人違いしちゃった？いやでも…あいつだよね？。早く答えてよ。答えてくれたらやめるから。えっ、あっ///。ご、ごめん…。さ、さて…この声と胸の感じは誰でしょう…あはは…。は、はぁ？む、無理にきまってるじゃんこんな往来でさ。誰だクイズ…やる気ないな…。もうっ、答え発表しちゃっていい？。ぶっぶー！。それ君が昔すきだったキャラクターじゃん…。ヒント昔から仲がよくてよく一緒に遊んでた子です。わっかるかな～？。は…え？。ちょ…彼女になった覚えは一度もないから！。勘違いしないでよね。ヒント②友達以上彼女未満って感じの間柄でーす。…答えそろそろわかってるんじゃないの？。えっ、えっ！？ｗ。ななにそれ///ふふふふっ。せいか～い♥。君のだいすきな幼馴染ちゃんでした～
幼馴染A,……・は？。なによ。こっちかって。はいはい…あたしは"こっち"の幼馴染ですよ。いらないほうで悪かったね。帰郷するからってきいてサプライズで駅まで迎えにきてあげたのにさ。なによ…
幼馴染B,あ、ひさしぶり…もう着いてたんですね
幼馴染A,だいしゅきな方の幼馴染ちゃんもきましたよーーー…
幼馴染B,おかえりなさい！。え…えう…泣
幼馴染A,うわぁ…再会そうそう泣かした…最低。ま、それはともかくさっさと実家もどりなさい。あたしらとは夜にまた飲みにでもいこうよ
幼馴染B,そうですね。いつものお店でお待ちしていますね
幼馴染A,てかこいつ…誰を期待して駅でぼーっと待ってたんだろう…
お前ら,結局たかしは来なかったか…
たかし,…だーれだｗ。にしししっ、うそうそ冗談だって。俺だよ俺。よっ！遠目でさっきのやり取り見てたぜ。とりあえず、お前にずっとあいたがってた女達に最初はゆずってやったんだよ。久しぶりだな…お前ら！。だろ？こんな片田舎じゃ、肉体労働くらいしかねーからな。お前は都会いってちょっと痩せたんじゃないか？ちゃんと食ってるか？。それにしても、さっきのあの女の冷たいあしらいかた…。さてはお前、都会で女つくったな？もう田舎娘は眼中にないってか？ｗ。なんだよ寂しがり屋め。そりゃあ、俺らガキん頃から親友だもんな。俺もお前がいなくなって遊び相手いなくて結構寂しかったぜ。だからよ、こういう帰省したときくらい昔みたいに一杯バカなことして遊ぼうぜ！！。しゃあ！まずは虫取りだな！都会だとやる機会もねーだろ！いくぞいくぞ！
幼馴染A,来ないね
幼馴染B,来ませんね…
幼馴染A,どーせ、たかしと一日中、野山を駆け回って遊んでるでしょ…
幼馴染B,はぁ…かわりませんね…
