所恵美,以下、恵美
田中琴葉,以下、琴葉
島原エレナ,以下、エレナ
琴葉,私だってついてきてほしいのに……
恵美,具体的にどうしてほしいのさ
琴葉,えっと……レッスンする時は傍にいて見守っていてほしいし、ライブの前には声かけてもらいたいし……
エレナ,え？コトハ、プロデューサーに声かけてもらったりしてないノ？
琴葉,えっ？
エレナ,ワタシ、この前もプロデューサーにお願いしてついて貰ってたヨー？
恵美,アタシもこの前一緒にカラオケ行ったかなー
琴葉,…………。やっぱり私だけ……
恵美,こ、琴葉……
エレナ,ンー、そんなにプロデューサーに付いて来て欲しいならオネガイすれば良いんじゃない？
琴葉,ええっ！？そ、そんなの恥ずかしくて……
恵美,それじゃあさ！皆のマネしてたらプロデューサーも付いて来てくれるんじゃない？プロデューサーが構いたくなるようにすればいいんだよ！。例えばほら、問題児っぽくするとか
琴葉,も、問題児って……
恵美,いつもの委員長辞めてさー、もうちょい気楽にいこ？。そしたらほら！プロデューサーも心配になってついてくるかもしれないし！
琴葉,そうかなぁ……？
エレナ,きっとそうだヨ！
恵美,じゃ、早速事務所で観察しますか
琴葉,で、でも真似って……出来るかな？
星井美希,以下、美希
ミリP,以下、Ｐ
美希,ムニャムニャ……ミキもう食べられないのー……
P,……寝てやがる、すぐ出発するって言ったのに。ほら起きろ美希！
美希,あ、ハニー……。ハニーもミキと一緒にお昼寝するのー……
P,しなだれかかるな！今から仕事だって！
美希,むぅー……ハニーはミキとお昼寝したくないの？
P,……し、したくないから！
美希,いけずなの……
P,貴音のマネかよ……。ほら、頑張ったらいちごババロア奢ってやるから！
美希,ホント？じゃ、ハニーも一緒に食べに行くの！
P,いや、お持ち帰りの奴で……
美希,じゃあ行かないの……あふぅ
P,あーもう！分かった分かった！今度一緒に食べに行こうな！
美希,やったの！約束だよ、ハニー！
P,おう、約束な。それじゃ行くぞー
美希,はーい、なの！
琴葉,……行ったわね
恵美,美希のマネかー……
琴葉,……恵美、なんか企んでない？
恵美,いやいやいや！そんな事ないってー！
エレナ,頑張ってネ、コトハ！
琴葉,う、うん……
P,ふぅ……今日は琴葉のボイスレッスンに付き合う予定だったかな。最近あんまり構ってやれてなかったからな……。今日こそはしっかりと面倒見てやらないとな！。おはよう、琴葉！
琴葉,あ、あふ………
P,………！？。こ、琴葉……？
琴葉,む、むにゃむにゃ……
P,こ、琴葉さん……？
恵美,ぷくく……何あれ！面白すぎるんだけど！
エレナ,こ、コトハは真面目さんすぎるヨ！
恵美,プロデューサーも困ってるじゃん！
エレナ,モー、メグミが焚き付けたんでショー？
恵美,と、とりあえずもうちょっと見てみよ！
P,琴葉、一体どうしたんだ……！？
琴葉,こ、コトハは今おねむなの……
P,おねむ！？
琴葉,あぅう………
P,………。もしかして、昨日夜遅くまで起きて宿題でもやってたのか？
琴葉,！？
P,だとしたら悪かった……アイドルっていっても勉強は大事だからな。だけど、今日は久々の琴葉とのレッスンだからさ。俺もお前がどれ位歌が上手くなったのか聞いてみたいんだ。だから、ちょっとだけ頑張ってくれないか？
琴葉,ぷ、プロデューサーが……
P,ん？
琴葉,今度、何処かに一緒に出かけてくれるなら……頑張ります
P,一緒にか？
琴葉,はい
P,……よぉし、分かった！今度、どっか行こう！。だから頼む！
琴葉,……はい、頑張ります！。じゃあ行きましょう、プロデューサー！。私の事、しっかり見ててくださいね！
恵美,それでそれでー？
琴葉,2人でケーキバイキング行っちゃった……えへへ
エレナ,オー、コトハとプロデューサーはラブラブだネー！
琴葉,ら、ラブラブって……
恵美,…………
エレナ,デモー、コトハのレッスンの直前だったからプロデューサーも構ってきたんでショー？。それじゃプロデューサーに構ってもらえる機会は増えてないんじゃナイ？
琴葉,……それもそう、なのかしら
恵美,続ける？
琴葉,……頑張る
エレナ,ヨシキタ！
双海真美,以下、真美
双海亜美,以下、亜美
真美,亜美隊員、準備はよろしいかな？
亜美,いいですとも！
亜美真美,にぃーちゃーん！
P,ん？どうしたお前ら。俺今ちょっと手が離せないんだが……
亜美,いあいあ→兄ちゃんもお疲れでしょ→と思いまして→
真美,ゆきぴょん直伝の入れ方で入れたおいち→お茶をさずけよ→というわけなのだよ、兄ちゃんくん！
P,おっ？。……いやいや、お前らがそんな殊勝なわけないだろ。これに何入れた？
真美,そりゃぁもぅ……
亜美,たぁ→っぷりのアイジョ→ですよ、兄ちゃんくんや
P,えっ、マジで？
亜美,あったりまえじゃ→ん？
真美,兄ちゃん信用しなさすぎだよ→
P,……愛情とびっきりのスパイス
亜美,…………
真美,…………
P,おい
真美,そ、そんな訳ないじゃ→ん？
亜美,ムショ→の愛って奴だよ、兄ちゃん！
P,……まぁ折角入れてくれたんだから頂くけどさ……
亜美,ど→よ？
真美,うまうまっしょ→？
P,……マジだ、普通に美味い
真美,でしょ→？
亜美,亜美達も中々捨てたもんじゃないですな→
P,疑って悪かったな、美味しいよこのお茶
真美,んっふっふ→でしょでしょ→？
亜美,だがしかぁし！ここで双海姉妹の進撃は止まらないのだZE！
P,これは？
亜美,はるるんから教わったァ！
真美,このルイセンもののマカロンで→す！
P,……ひょっとして、垂涎もの？
真美,そ、そーとも言う！
亜美,ほらほら→にーちゃ→ん
亜美真美,召し上がれ→！
P,お、お前ら……！。お前らがこんなに成長してくれて俺は嬉しいよ……！。ありがとな！。ぐぉっ！！？！。お、お前ら……！
亜美,きょ→ふというものにはサンドがあります……
真美,怯えれば怯えるほどに、かんじょ→とは死んでいくものなのです……
亜美真美,さぁ、みずみずし→マカロンのお味はどうだ！
P,辛えよ！何入れやがったお前ら！
真美,いやぁ→ただのマカロンではに→ちゃんはマンゾクしないと思いまして→
亜美,たぁ→っぷりの唐辛子パウダ→を！
P,うぐぅ……油断してたから余計に響く。お茶だけで済ませておくという選択肢は無かったのかよお前ら……
真美,それじゃ→面白くないっしょ→？
亜美,亜美達もフツ→に作ろうとしたけど物足りなくなっちゃってNE
真美,良かれと思って！良かれと思って！
P,感動してたというのに……。だがなぁ！俺は全部食うぞ！
真美,に、兄ちゃん……！
亜美,世界よ、これが漢DA……
