横山奈緒,ひまっひまっひまっ～
北沢志保,……
奈緒,ひまぁーやなぁー
志保,……
奈緒,ひぃ～まぁ～やぁ～なぁ～～～～～～～～～～～～～
志保,……
奈緒,ひぃ～～まぁ～～やぁ～～なぁ～～～～～～～～～～～～～～～～～～～～～～～～～～～～
志保,……奈緒さん
奈緒,はい！はいはいはい！！この奈緒に何か御用でしょうかお嬢様！！
志保,生命活動停止してください
奈緒,あたりキツない？
志保,奈緒さん、ここにいるのはあなただけじゃないんですよ？
奈緒,せやな
志保,どういう意味か分かりますよね？
奈緒,私が分かると思う？
志保,質問に質問で返すなって学校で習いませんでしたか？
奈緒,私が分かると思う？
志保,つよい
奈緒,だって暇なんやもん～！
志保,待機時間でもできることはあるでしょう。台本読んだり
奈緒,もう私の頭の中に台本は全部入っとる
志保,そういうハイスペックなところもむかつくんですよね
奈緒,浪速のペッパー君の異名は伊達やないで
志保,凄いですね。浪速のペッパー君
奈緒,……ごめん。このあだ名むっちゃ恥ずかしいわ
志保,どうかしましたか？浪速のペッパー君
奈緒,ああっ、もう！
志保,ふふっ
奈緒,大体待機時間が長いのが悪いねん！何で事務所でこんなに待たされなあかんねん！
志保,しょうがないじゃないですか。収録が長引いて、送迎役のプロデューサーが来れないんですから
奈緒,……よし、志保。暇つぶしに歩いて行こう
志保,嫌ですよ。どれだけ距離があると思ってるんですか
奈緒,分かった。車で行こう
志保,タクシー代持ってます？
奈緒,まずお金自体ビタ一文持ってへん。だから――。手押し”車”や！さぁ、志保！私の足を持っ――あたたたたたたっ！！ちょっ痛い！志保痛いって！
志保,……”車”椅子もありよね
奈緒,分かった！悪かった！もう悪ふざけはせんから！！。いつつ、ほんの悪ふざけやん
志保,はぁ、奈緒さんには緊張感がないんですか？本番前の待機時間なのに――
奈緒,よっしゃ！どうやって暇潰す？
志保,鳥頭なんですか？
奈緒,まぁ、トサカっぽいんは生えとる
志保,そのアホ毛引っこ抜きましょうか？アホが治るかもしれませんよ？
奈緒,すんませんした！！
志保,じゃあ私台本読むんで。静かにしててください
奈緒,えー、じゃあ私はどうやって暇を潰したらええのん？
志保,一人で物真似でもしてたらどうです？
奈緒,分かった
志保,分かっちゃうんですか
奈緒,足を滑らせて浴槽に落ちる猫
志保,あっ！くくっ、奈緒さんちょっとタンマ――
奈緒,ﾅｰ、ﾝﾆｬｰ、ﾅｰｵ、ﾅ――ﾅﾅﾅﾅﾅﾅﾅﾅﾅﾅﾅ！！ﾊﾟｯｼｬｰﾝﾝﾅｰｵ！！ﾅｰｵ！！
志保,くっ、くくっ、それ私ツボなんですって――
奈緒,ﾝﾆｬｱｱｱｱｱｱｱｱｱｱｱｱｱｱｱｱｱｱｱｱｱ！！
志保,あははははははははははははははははは！！。静かにしてください
奈緒,はい、先生。しつこかった私も悪いと思いますが、体罰は校則で禁止されていると思います
志保,10分間も笑わせ続けるのもいけないと思います。私も笑い過ぎて腹筋が痛いのでお相子です
奈緒,確かに10分はやり過ぎやと思いましたが、物真似をしろといった先生にも責任があると思います
志保,私は静かにしろと言いました。それに暇なら台本読めばいいじゃないですか
奈緒,いや、それは私のポリシーに反する
志保,そんなポリシー捨ててください。全く本当にアホですね。空気読めないんですか？大体、奈緒さんには緊張感というものが――
奈緒,……
志保,……奈緒さん？
奈緒,…………
志保,……少し言い過ぎました。ごめんなさ――
奈緒,なぁ志保！ポリシーって燃えるゴミと燃えないゴミ、どっちやと思う！？
