モバP(以下、P),さて、用も済んだし事務所に戻るか
桃華,えぇ、そうですわね
P・桃華,？
女子A,おひさ～。Pさんと一緒って事は今日仕事？
女子B,たまには店にも遊び来てよ～
桃華,え？え？
女子A・B,あれ？
女子B,ちょっ、唯ちゃんじゃないじゃん！間違えんなし！
女子A,原宿でPさんと金髪見たら唯ちゃんだと思っちゃうっしょ！
女子B,マジごめんね～？
桃華,い、いえ・・・別に構いませんけど。突然の事で驚いてしまいましたわ・・・あの方々は唯さんのお友達ですの？Pちゃまともお知り合いのようでしたけど
P,あの二人は唯がよく行く原宿のアパレルショップで働いてる店員さんだよ。唯の買い物の付き合いで俺も何回か会ったことがあるんだ
桃華,お店の方でしたのね。てっきりお友達なのかと思いましたわ
P,でも唯にとって原宿はホームみたいなものだから、ここらに通うような人とはみんな友達と言っても過言ではないかもしれないな
桃華,まぁ！ここにいる皆さんとお友達だなんて唯さんは人徳がおありですのね！
みりあ,みんなでカラオケ楽しみだね♪
薫,いっぱい歌っちゃうぞー！
千枝,お友達だけでカラオケに行くってちょっと大人っぽいよね♪
ありす,小学生だけでは来れませんからね
唯,そんな大したことじゃないって～。ま、ゆいに任せて今日は目一杯楽しもー！☆
五人,おー♪。？
男A,346の皆様がいらっしゃったので、もしやと思いましたが櫻井桃華さんですよね！？
薫,桃華ちゃん・・・？
男A,突然申し訳ございません。私○○株式会社の社長をやっております△△と申します。桃華さんのお父様には大変お世話になっておりまして―――
みりあ,しゃちょーさん！？すごーい！
唯,えっと・・・もしかしてゆいに言ってる？
男A,ゆい・・・？え？
ありす,この人は桃華さんではないですよ？大槻唯さんです
男A,え・・・えぇ！？も、申し訳ございません！
唯,ゆいと桃華ちゃんって似てるのかな？
みりあ,ん～・・・どうだろう？
ありす,言われれば似ているかもしれませんね。私達はよく顔を合わせているので間違える事はありえませんけど
男A,あぁ、なんて間違いを・・・！
唯,そんな気にしなくていいって～
男A,ど、どうか桃華さんにはご内密にっ！
唯,あ、そっち？。ただいま～☆
桃華,あら唯さん。お帰りなさいまし
唯,あ、桃華ちゃんだ！
桃華,どうかされました？
唯,うん！実はさっきね～・・・・・・・・通りすがりのファンの人に桃華ちゃんと間違えられたんだー☆
桃華,あら奇遇ですわ！わたくしも原宿で唯さんと間違われましたの
唯,え、マジで！？ちょー偶然じゃん！
桃華,わたくし達ってそんなに似ているのでしょうか？今まで思ってもみませんでしたけど
唯,ホントだよね～。中身は全然違うのに
桃華,・・・。唯さん、そこでお話があるのですが
唯,？
桃華,もしよろしければわたくしに唯さんの事を教えて頂けませんか？
唯,え、ゆいの事を？
桃華,えぇ。思えば唯さんとは今までそれ程の交流がなかったと思いますの
唯,んー、確かに今まで遊んだ事とかなかったかもね～
桃華,似ていると言われるのもきっと何かのご縁ですわ。この機会に唯さんとの距離を縮められたらと思いまして・・・いかがでしょうか？
唯,いいね！大賛成ー☆ゆいにも桃華ちゃんの事教えて欲しいな♪
桃華,では決まりですわね♪。―――というわけで、今日はわたくしの事を知って頂こうかと思います
唯,桃華ちゃん家にお泊りとかチョーわくわくするね♪
桃華,では参りましょうか
唯,はーい♪。桃華ちゃん家にはどう行くの？タクシー？
桃華,いいえ、もうすぐ迎えの車が・・・・あ、来ましたわ
リムジン,
運転手,お迎えにあがりました。お嬢様
桃華,ご苦労様
唯,わーお・・・
運転手,どうぞお乗りください
唯,は、はーい・・・おなしゃーす・・・
桃華,唯さん、着きましたわ
運転手,どうぞ
唯,ひぇぇ！？桃華ちゃん家デカっ！庭も広すぎっ！スゴすぎっしょ！！！
桃華,ふふっ、唯さんったら。では参りましょうか
唯,わあっ！？。ねぇねぇ桃華ちゃん！もしかしてこの人達って・・・
桃華,執事とメイドですわ
唯,すごーい！漫画みたい！
執事,唯様、ようこそいらっしゃいました
唯,ゆ、唯様かぁ～・・・ちょっとこそばゆいかも～
桃華,唯さんはお客様ですから当然ですわ
唯,
メイド,――、―――。――
執事,――――
メイド,――――
唯,・・・
桃華,どうかなさいました？
唯,あ、いや・・・なんてゆーかさ・・・こんなスゴイ所に来たのにゆいだけこんなラフな格好で浮いちゃってるかなーって
桃華,お客様がそんな事を気にする事はありませんのよ？
唯,そっかー・・・じゃあいっか☆
桃華,・・・・あっ、そうですわ！もし良かったら―――
唯,？。わぁ！可愛い～♪///
桃華,唯さんの着れるサイズのドレスがあって良かったです。とてもお似合いですわ♪
唯,ありがとね、桃華ちゃん！
執事,お嬢様。お茶が入りました
桃華,ではティータイムにしましょうか
唯,は～い☆。すごーい！これ全部薔薇？
桃華,えぇ。自慢の薔薇園ですわ♪
メイド,本日のお紅茶はテイラーズ・オブ・ハロゲイトのアールグレイにございます
唯,テラ・・・ハゲ・・・？あっ、良い香り！
桃華,クッキーもございますわ。ぜひお召し上がりになって
唯,いただきまーす！・・・ん～、チョー美味しい～♪
桃華,お口に合ったようで良かったです
執事,お話し中失礼いたします。お嬢様、○○様からお電話が入っております
桃華,あら、○○様から？分かりましたわ。すみません唯さん、少し席を外させて頂きますわね
唯,オッケー！ねぇねぇその間、薔薇園見ててもいい？
桃華,もちろんですわ。是非ご覧になって下さいまし
唯,すご～い！。ドレス着て薔薇園でお散歩とか、ゆいもお嬢様の仲間入り！なんてね☆
桃華母(以下、母),おかえりなさい桃華。今日来るお友達はいつ頃お見えになるのかしら？
唯,え？
母,！？。申し訳ございませんでした！
唯,だ、大丈夫ですよ～？
桃華,もうっ、お母様まで間違えるなんて！
母,髪が少し長いかなとは思ったけれど、あまりにも後ろ姿がそっくりだったものだから
唯,桃華ちゃんのお母さんも間違えるなんて、やっぱゆい達ソックリなんだね☆
桃華,そのようですわね
母,えぇ、本当に・・・こうやって並ぶとまるで姉妹みたいね
唯,姉妹・・・？
桃華,わたくし達が・・・？
唯,桃華ちゃ～ん♪ゆいお姉ちゃんに甘えてもいいんだぞ～？
桃華,きゃっ！？ゆ、唯さんっ・・・！///
母,ふふっ♪
メイド,こちらが唯様のお部屋になります
唯,うわぁー！ちょー広ーい！。ここ全部ゆいが使っていいの！？
メイド,もちろんでございます。ではごゆっくりお休みください
唯,ありがとございまーす♪。漫画のお姫様の部屋みたいじゃん！よいしょっ・・・ん～、ベッドもふかふか～♪。こんなに広い部屋ゆいだけじゃ使い切れないよ～。さすが桃華ちゃん家だね～♪。ふぅ～・・・・・・。・・・
桃華,？
唯,やっほー
桃華,唯さん？どうかされましたか？
唯,いやー・・・なんか部屋で一人なのが寂しいなーって
桃華,寂しいって・・・子供じゃないんですから
唯,やっぱお泊り会は一緒に寝なくちゃだよね☆お邪魔しまーす
桃華,ちょ・・・唯さん！？
唯,えへへ♪せっかくのお泊り会なんだからゆいとたっぷり語りあおーぜ♪
桃華,・・・。もうっ、仕方ありませんわね。――――、―――♪
唯,―――☆。よっしゃ～！今度はゆいの番だね！
桃華,よろしくお願いいたしますわ♪
唯,ゆいの事知ってもらうならやっぱここしかないっしょ！――――。原宿～～～！
桃華,ゆ、唯さん！声が大きいです！
唯,ゆいと言ったら原宿だかんねー☆桃華ちゃん竹下通り来た事ある？
桃華,見たことは勿論ありますが、実際に入るのは・・・ここが噂に聞く竹下通りですのね
唯,じゃあゆいが色々と案内してあげるね☆
桃華,はい、よろしくお願いしますわ♪
唯,んじゃ、まずは～。桃華ちゃんを原宿女子に変身させちゃうよー☆
桃華,変身、ですの？
唯,原宿に来たからにはまず格好から入らないと！
女子A,桃華ちゃんいらっしゃ～い♪この前はゴメンね？
桃華,あの時の・・・ここのお店の方でしたのね
唯,今日の桃華ちゃんのコーディネートに協力してくれるんだ☆プロだから間違いないよ！
女子A,任せて！桃華ちゃんを立派な原宿ガールに変身させてみせるから！
桃華,お、お手柔らかにお願いします・・・
唯,桃華ちゃーん。着替えれたー？
唯・女子A,！
桃華,ど、どうでしょうか・・・？
唯・女子A,や～ん、チョーカワイイ～♪
唯,桃華ちゃんショーパン似合ってる～☆
