怪談,かいだん
アスカ,あぢぃぃー・・
綾波,・・・
マリ,に゛ゃあぁぁー
シンジ,３人ともだらしないなぁ
アスカ,シンジィむぎちゃあー
綾波,碇君、かき氷。イチゴみるくで
マリ,私はわんこくんの熱いベーゼぇ
シンジ,アスカは自分でして。綾波もそんなもの置いてないから諦めようか。マリさん暴走しない
アスカ,コネメガネェ・・アンタぶっ殺すわよー
マリ,嫉妬は醜いにゃー・・
綾波,ぽかぽかぁ
シンジ,エアコン壊れたのは参るね。この暑さ・・
アスカ,その団扇でわたしもあおぎなさいよ
シンジ,絶対嫌だ
マリ,あ、じゃあ姫ダメなら私はいいよねー？
アスカ,コネメガネ、今すぐガリ○リくん買ってきて。30秒以内ね
綾波,私、コーラ味・・
マリ,わんこくーん。2人がいじめるよぉ
シンジ,はぁ・・
アスカ,誰かきたわよぉー
シンジ,カヲルくんかな。はーい
カヲル,やあシンジ君
シンジ,外暑かったでしょ？中入りなよ。中も対して変わらないけど
カヲル,お邪魔します。・・うん、本当に変わらないね
シンジ,あはは・・
カヲル,お土産にアイス買ってきて正解だったかな
シンジ,わあ、ありがとう
カヲル,良いさ。シンジ君に喜んで貰えるなら僕はその為に何でもするよ
シンジ,はは。大袈裟だよカヲルくん
カヲル,ところでシンジ君
シンジ,？
カヲル,君の汗がたっぷり染み込んだそのシャツを僕にくれないかい？
シンジ,はは。カヲル君、僕のシャツの袖掴むのやめて。みんなーカヲルくんからお土産貰っ
アスカ,げっ、ホモじゃん。帰れ
綾波,殲滅されたくないならゲイは私と碇君の家から消えて
マリ,そーだそーだ。かえれかえれー・・ん？
シンジ,ちょっ、みんな酷いよ
カヲル,いっそ清々しくなるよ。ここまで言われると
アスカ,ってかファースト。妄想を口にだしてんじゃないわよ。脳ミソ沸騰してんのかしら。この人形女
綾波,おこ？
マリ,姫、激おこなの？
綾波,ムカ着火ファイヤー？
マリ,激おこぷんぷん丸？
アスカ,うわー・・・まじムカつくこいつら
シンジ,ほらほら、喧嘩やめよ？カヲルくんアイス買ってきてくれたから
アスカ,ホモ!たまには気が利くわね!
綾波,・・・アイス。ゲイが買ってくれたアイス
マリ,練乳入りあったらパスで。なんか別の練乳入ってそうじゃん。ホモだし
カヲル,ふふ、僕何かした？
マリ,ふぁー生き返るにゃ
アスカ,少し涼しくなったわ
綾波,ガリ○リ君美味しい
シンジ,うん。美味しいねぇ
カヲル,夏って感じがするよ
シンジ,・・・ッ
マリ,うに゛ゃあああ
綾波,ぽ・・かぽか・・
アスカ,あああああっ!あっついわねぇ!!
カヲル,うん。これは・・きつい
アスカ,イライラするわね!なんとかしなさいよバカシンジ
シンジ,えぇー・・
マリ,んじゃんじゃどっか涼しいとこいこーぜ!
綾波,どこに・・？
カヲル,プールとかはどうかな
アスカ,うー・・人混みがヤバそう
綾波,図書館はどう？
マリ,えー暇じゃん。騒げないし
シンジ,デパートに食材買いに行くついでに涼むのは？
アスカ,却下
シンジ,え、理由は？
アスカ,アンタ一人で行きなさいよそんなの
シンジ,鬼だ・・
マリ,あ、じゃあ私がわんこくんとデパートいこっかにゃ
アスカ,!
シンジ,マリさんいいの？
マリ,わんこくんとならどこでもいいよ。なんならホテルでも♪
シンジ,え!？
カヲル,ははは。その役目は運命で決まってるからね。僕という存在に
綾波,碇君とぽかぽかするのは私。ゲイとエセ中学生は黙って
アスカ,むー!。とにかくデパートはなしっ!!他の探すわよ
シンジ,他って言ってもさ・・僕らがよく行くとこなんてネルフぐらいだよ？
マリ,ネルフかぁ。クーラーはガンガンだろうね
