安斎都,はーい！
都,むむっ！事件のようですね！
まゆ,まぁ、久々に都ちゃんの名推理が見られますねぇ
都,どうしましたかプロデューサーさん、机の中に猫の死体でも入れられてましたか？
まゆ,妙に発想が恐ろしいですよ都ちゃん…
都,世の中は荒んでいるから何が起こっても不思議ではないのですよまゆちゃん…
まゆ,きっと何かが盗まれたとかですよぅ…
都,そうなんですか？プロデューサーさん
Ｐ,誰かが俺の下着を盗んだんだ…
まゆ,まぁ、なんてハレンチな…許せませんね都ちゃ…あぁっ！都ちゃんの目つきが鋭くなりました！これは都ちゃんのインスピレーションが働いた印です！この特徴から都ちゃんは別名＂都ちゃん目つき悪っ！＂と呼ばれているんです！あの鋭い目から逃れられる犯人は1人もいないんです！さぁ始まりますよ、都ちゃんの名推理が…！！！
都,むむっ！事件のようですね！。どうしたんですか？
まゆ,あ、都ちゃん事件ですよぉ
都,何があったんですか？プロデューサーさん
Ｐ,覗きだよ都！誰かが俺のシャワーシーンを覗いていたんだ
都,………
まゆ,なっ…違っ、私じゃありませんよ！そんな目で見ないでください！確かに前科はありますけど…
Ｐ,まゆではないぞ都、犯人は逃げる途中にゃんにゃんって言ってたんだ
都,にゃんにゃんですか…。普通に考えれば犯人はみくさん…。でもプロデューサーさんの腹筋の素晴らしさににゃにゃんと！と驚いたのかも…。えぇーい、にゃんことにゃんにゃんしたいにゃん！の略かもしれない…
まゆ,最後のはないと思いますけど…。真面目に考えてください都ちゃん！許せないことですよぉ！覗きなんて…！。それに捜査をかく乱するためにヤンデレキャラのくせに猫の鳴き真似まで残すなんて…卑劣ですよぉ！覗きなんて最低で卑怯な行いですよぉ…！
Ｐ,悪質なストーカーから手紙がきた！
都,な、なんですって…！
まゆ,ま、まゆの大好きなプロデューサーさんになんてことを…！許せませんっ
都,最近事件がなくてつまんないです…。急に首が取れたりしませんか？まゆちゃん
まゆ,し、しませんよぉ！どんな事件ですかぁそれぇ…！
ちひろ,えー、最近このプロダクションで露出魔が出没するようです。何かありましたらすぐに私に報告してください
まゆ,ほ、ほら、事件ですよ都ちゃん！なにやらハレンチな事件ですよぉ！
都,露出魔ですかぁ…。まゆちゃんじゃないですよね…？
まゆ,違いますよぉ！そんななんでもかんでも私じゃないですよぉ、やめてくださいよぉ！もう、失礼ですねぇ
ちひろ,昨日はプロデューサーさんが被害に遭いました。プロデューサーさん、その時のこと話してください
Ｐ,全裸のまゆが執拗に事務所内を付いて回ってきました
都,………
まゆ,……また私ですか…まいりましたねぇ…
都,最近事件がなくてヒマですね～
まゆ,平和が何よりですよぉ都ちゃん
都,ちょっと屋上から飛び降りてみませんか？まゆちゃん
まゆ,ほぼ死にますよぉ！それにそんな事件推理するとこありませんよぉ！
都,私推理するより警察に通報することのほうが好きなんですよ
まゆ,嫌な名探偵ですねぇ…
都,むむっ！事件でしょうか？。どうしましたかプロデューサーさん
Ｐ,大変だ都！俺のリップクリームの先端のところだけ削り取られたんだ
まゆ,せ、先端部分のみを…！？いったいなんのためなんでしょうか…これは奇妙な事件ですよぉ…ねぇ、都ちゃ…あぁっ！怖い…！都ちゃんの目つきが鋭くなりました！これは都ちゃんのインスピレーションが働いた印です…！さすが都ちゃん、さっそく犯人に目星を付けたんですねぇ！いったい誰なんでしょうか…！いったい誰が犯人だとにりゃんでいりゅんでひょうかぁぁぁ…
Ｐ,都助けてくれ！悪質なストーカーが追いかけてくるんだ！
都,な、なんですと！
