・,アイドルマスターシンデレラガールズ
道明寺歌鈴,……
高森藍子,……あ、あの……歌鈴ちゃん？
歌鈴,ひゃ、ひゃいっ！？
藍子,どうして、私の腕にしがみ付いているんですか？
歌鈴,ああああのですね、それは、えっと。……はっ。藍子ちゃんっ！
藍子,はい
歌鈴,今日は、いいお天気ですねっ！！
藍子,そうですね。ちょっと暑いですけど、とっても綺麗な青空で……。そういえば事務所に来る途中、鳥さんが気持ちよさそうに飛んでいくのを見かけて。写真を撮りたかったんですけど、カメラを取り出している間に遠くにいってしまったんです……
歌鈴,そうなんですか……ふふっ。空を飛ぶのって、きっと気持ちいいんでしょうねっ。全身で風を受けて……
藍子,人間にも翼があればって、想像することありますよね
歌鈴,……飛んでいれば、バナナの皮を踏んで転んだりしないだろうし……
藍子,……ところで、その。どうして、私にくっつくんですか？
歌鈴,はうっ！。そそそそれは、あうぅ……あ、藍子ひゃんっ！
藍子,はい
歌鈴,えぇと、えぇと……。バナナと、鶏肉、どっちが好きですかっ！？
藍子,さ、さすがに話題の逸らし方が強引すぎるんじゃないかなぁ……？
歌鈴,そ、そうですかっ！？あ、あはは……
藍子,もう、そうまでされると、逆に気になりますよ。聞かせてもらえませんか？甘えんぼ歌鈴ちゃんになっている理由を
歌鈴,あ、甘えんぼ歌鈴ちゃん、でしゅかっ！？……あぅ
藍子,だって、まるで小さい子みたいに、ぎゅーってしてくるから
歌鈴,うぅ、そう言われてしまうと、ちょっぴり恥ずかしくなってきました……！
藍子,えへへ。よしよし
歌鈴,ふわぁ……気持ちいい……。……はっ！ち、違いますっ！なでなでは、のーせんきゅーですからっ
藍子,そうですか……じゃあ、私はいったい、何をすれば……？
歌鈴,何も言わずに、どうか私を側にいさせてくだしゃいっ！。今日の私には……藍子ちゃんの力がどうしても必要なんですっ！
藍子,今日の、って……何か、あったんですか？
歌鈴,うぅ～……じ、実はですね……
藍子,はい……
歌鈴,私……今朝の星座占いが、ひどい結果だったんです～！
藍子,占い、ですか。えぇと、歌鈴ちゃんはお正月が誕生日だから……やぎ座？で、合ってますか？
歌鈴,はいっ！正解です！そのやぎ座の運勢が……もう、ダメダメの、ズンドコだったんですよぉ！
藍子,……ズンドコ？
歌鈴,ひゃうっ！噛んじゃった……。ズンドコじゃなくて、どん底です！
藍子,き、器用な噛み方しますね……
歌鈴,なんでも、やること成すこと全部うまくいかない日になるって……
藍子,そうなんですか……それは確かに、不安になっちゃいますよね
歌鈴,はい……もう、いつドジをやらかすか、気が気じゃなくて……。事務所に来るときも、一歩踏み出すたびに転んじゃわないかって、びくびくしながら歩いてたら……こんな時間に……
藍子,なるほど。そういえば、今日は歌鈴ちゃん遅いなーって、思ってたんですよ
歌鈴,はうぅ……藍子ちゃんを心配させるなんて、やっぱり歌鈴はダメな子……
藍子,……うーん。ちょっと怯えすぎな気もしますけど、でも石橋を叩いて渡るって言いますし。いつもより慎重になることで、転ばずに事務所に来れたなら、かえって良かったんじゃないですか？
歌鈴,え？転びましたよ？二回くらい
藍子,えぇっ！？
歌鈴,占いの力がこれほど恐ろしいとは……今度朋さんに会ったら、いろいろ教えてもりゃって……あっ
藍子,……これ、本当に占いが関係してるのかな……？
歌鈴,それでですねっ
藍子,は、はいっ
歌鈴,その占いによると、私の厄を落としてくれるラッキーパーソンが、藍子ちゃんなんですっ！
藍子,えぇと、つまり、ラッキーアイテムの、人間版……っていうことですよね？
歌鈴,そうですっ！だから、今日は出来るだけ、藍子ちゃんの側にいさせてもらいたいんでつっ！はぅっ
藍子,事情はわかりました。……でも……
歌鈴,や、やっぱり、迷惑ですか……？……ですよね。私のドジが藍子ちゃんにまでうつっちゃったら、大変ですし……
藍子,そんな。迷惑なんかじゃないですよ？。ただ、今日は予定が別々ですし……事務所にいる間は大丈夫ですけど、そのあとはどうしましょう？。私はラジオの収録で、歌鈴ちゃんは、来月のフェスに向けてのレッスンでしたよね？
歌鈴,あわわわわ、そ、そうでした……。え、えぇと……藍子ちゃんが収録しているブースの中で、私もレッスンをさせてもらうというのは……？
藍子,さ、さすがに駄目だと思いますよ……？絶対、物音とか入っちゃうでしょうし……
歌鈴,で、できるだけ小声で歌いますからっ！
藍子,よりによってボーカルレッスンなんですか！？
歌鈴,あうぅ……で、でも一人でレッスンを受けるのは心配です……また転んじゃうかもしれないし……
藍子,ボーカルレッスンなのに！？
歌鈴,私、お腹から声を出そうとすると、バランス感覚も同時に出て行っちゃうタイプなので……えへへ
藍子,初めて聞きましたよ、そんなタイプ……。歌のレッスンなら、歌詞を噛んじゃわないようにとか、そっちを心配するほうがいいんじゃないですか？
歌鈴,……はっ！考えてみれば、そうですねっ！普段噛むのが当たり前過ぎて、考えが及びませんでしたっ！
藍子,……前から少し思ってたんですけど。歌鈴ちゃんって、ちょっとそのへんの感覚が普通の人とズレてますよね
歌鈴,えぇっ！？そ、そうなんですかぁ！？
藍子,ほら。先月私のラジオに、歌鈴ちゃんがゲストで来てくれたこと、あったじゃないですか
