ラジオ,本日未明……ｻﾞｻﾞｯ…げ出し………く中との……近隣住………さい…ｻﾞｻﾞｯ
卯月,司令官！司令官！！ちょっとこっちに来るぴょん！！面白いことがあるよ！！
提督,……なんだよこんな朝っぱらから……今日は遠征も含めて午後まで出撃は…
卯月,長門さんがゴリラになったぴょん！！
提督,は？
卯月,長門さんがゴリラになったぴょん！！
提督,………………
長門のヘッドギアをつけたゴリラ,ウッホ、ウホホ！！
卯月,くっそ笑えるぴょんwwwwwwww
提督,…………。俺の妹の長門がこんなにゴリラなわけがない……
ゴリ長門(仮称),ウホ？
卯月,ほいほい！バナナ食べるぴょん？長門さん…？
ゴリ長門,ウホホ！！ウッホ、ウホッホイ！！
フェニックス響,どうやらゴリ長門さんも喜んでいるみたいだね。
提督,気安く人の妹をゴリラにするな。
卯月,だって…どこからどうみても長門さんぴょん？
フェニックス響,長門さんのヘッドギアしてるし…それにどこを探しても長門さんはいないし…
卯月,これはもう…長門さんに間違いないぴょん！！うーちゃんの探偵としての勘がそう囁くぴょん…！
ゴリ長門,ウッホホ！！ウホホホ！ウッホホホホホ！！！！！
提督,俺は絶対に信じないぞ！！てか信じたくない！！
卯月,よく考えてみるんだぴょん……まずこういう時は、原因に遡ってみるぴょん……
提督,原因…………
卯月,まず、司令官と長門さんの家族関係から……
提督,ええっと……そもそも俺と長門は、生き別れの関係で……最近まで血が繋がってるって知らなかったんだ…
フェニックス響,ほう…それで…？？
提督,俺の親父は…結構名のある海軍軍人でな。俺はそんな親父の元で鍛えられ、そして同じく軍人になった。一方、母方は…とある秘宝を守り伝える一族で……長門は母方で育ったわけだ。
卯月,詳しいことはVS艦隊旅団編が詳しいぴょん…！
提督,ていうか…それ以外に変わったところはないぞ……少し特殊な家庭なだけで、正直ゴリラは一切関係ない。
卯月,母方の祖父母がゴリラだったりしないぴょん…？
フェニックス響,なるほど…先祖還りという奴か。実にハラショーな推理だ。
提督,祖父母がゴリラなら俺の母ちゃんもゴリラじゃねぇか。それなら俺、ゴリラのハーフじゃねえかよ…
卯月,司令官はちょっぴり人外なところ…あるぴょん…？
フェニックス響,正直に言ってみなよ。ほら。このバナナ…実は食べたくて食べたくて仕方ないんだろう？ほれほーれｗ
提督,ねぇよ(怒)ボケカス……！
ゴリ長門,ウホ
卯月,あっ長門さんが司令官に近づいてくるぴょん！
フェニックス響,流石は兄妹だね。血の繋がった者同士…惹かれあう何かがあるんだろう。
提督,おいやめろこっちくんな！！
ゴリ長門,ウホ……ウホホ…
卯月,長門さんが悲しがってるぴょん…
フェニックス響,なんて酷いお兄ちゃんなんだ！！これは少し…同情するよ…
提督,いやいや、これが普通の反応だろっ！！ゴリラの腕力舐めんな！！俺の身体なんか軽く引きちぎられるんだぞ！！
卯月,司令官なら大丈夫ぴょんww
フェニックス響,うんwwだって不死身だしww
提督,
ゴリ長門,ウッホホイ！！
卯月,とりあえず、コンタクトを図ってみるぴょん！！
提督,はぁ？どうやって？？ゴリラ語でも喋れ、とでもww
卯月,なせばなる！！ぴょん！！
提督,マジかよ……
フェニックス響,なぜベストをつくさないのか…
卯月,やる前から諦めてちゃ…何も始まらないんだぴょん！！ぷっぷくぷぅ！！
提督,……どう考えても無駄だが…一応やってみるか…それじゃ行くぞ！。ウホホ！！ウホホッホッホイイイイ！！！！！(こんにちは。私は提督です。)。ウッホホホホイ？ウーホホホホーーーホホー！？(あなたの名前はなんですか？もしかして本物の長門さんですか！？)
ゴリ長門,…………………………………
提督,ウホホホホ、ウホホホホーーッホイ？ウホ。ウッホホホイウホホホ……(よかったら、お友達になりませんか？はい。これが親愛の証の握手……)
ゴリ長門,ウッホホホホイッ！！！！！！！！！！！！
提督,うぎゃああああああああああああああ！！！！！！！やっぱりじゃねぇかああああああああああああああ！！！！？？？？？？
卯月・フェニックス響,wwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwww
ボロボロの提督,俺じゃなきゃ死んでたね(怒)
卯月,やっぱり不死身ぴょん……
フェニックス響,ゴリラ兄妹……ハラショーだね。
提督,だから…こいつが長門だって勝手に決めつけんな。アホ。
ゴリ長門,ウッホホ？。ウッホ♪ウホホイ♪
提督,このままじゃラチがあかねぇ……どうにかしてコイツをここから退かすぞ。ぶっちゃけ超邪魔。
卯月,いやだぴょん！それじゃ長門さんが可哀想だぴょん！！
フェニックス響,そうだそうだ！同じ艦隊の仲間を邪魔扱いだなんて…見損なったよ。司令官！
提督,うるせぇ！！その艦隊の仲間の姿を見て爆笑するお前らには言われたくねぇよ！！！！！！！！！
卯月,ぷっぷくぷぅ……それじゃ、どうするぴょん…？
提督,とりあえず……警察に通報だな……お巡りさんが来たところで…何かできるわけでもないだろうけど…
フェニックス響,あっ、いいこと思いついたよ。ちょっと待って司令官！
卯月,ぴょん？
提督,悪い予感しかしねぇ……
ゴリ長門,ウッホホ♪
フェニックス響,司令官、お待たせ。スゴいアイテムを持ってきたよ。
