縄で拘束された俺,くっ…
魔王,先祖様が人払いの結界を張っていたのに、効力が薄まったのかな？。ボクは魔王の中でも無害で内気でかわいい方だから、そっとしておいてほしいと願っているのに。それにしても、たった一人で乗り込んでくるなんて、いつの時代の英雄譚だい？一周回って興味深いよ
俺,…………
魔王,今は戦争なんて、魔導兵器で全部片がついちゃうんだろう？。ボクら魔族の優位性なんて、とっくになくなってる。手品が得意で寿命が長いってとこくらいさ。あとの特徴と言えば、生殖頻度が極端に低い欠陥人種じゃないか
俺,……随分と、卑屈なことで
魔王,ははは、やっとまともに言葉を返してくれたね
俺,…………
魔王,ま、ほら、ボクはずっとここで一人だから、書物の知識としてしか知らないんだよ。だから自分とは関係ないというか、俯瞰的に見れるのだろう。あ、紅茶出そうか？安心しなよ、お伽噺みたいに、蛇の生き血とか入ってないから。まったく、人種差別の偏見だよね
俺,…………
魔王,つれないな。初めてのお客さんだから、これくらいのサービスはただでやってあげるよ。コーヒーやハーブティーもあるけど、不愛想だからもう紅茶にしちゃうから。ちょっと待っててね、逃げないでね、君くらいの魔力じゃ絶対無理だろうけど。はい、紅茶。お待たせ様……
俺,……
魔王,どうぞ
俺,……
魔王,えっと、冷めるよ？
俺,いるかっ！馬鹿にしやがって！
魔王,あ、やっぱりコーヒー派？
俺,違うわっ！。俺を捕まえて、ふざけたことばかり言いやがって！俺を殺すつもりだろ！
魔王,別にそんなことする理由ないしなぁ……祖父様爺と違って世界征服とか呆けたこと言い出す気はないし、父様と違って復讐とか言い出すつもりもないし。ボクはほら、先祖の割喰らって一人で寂しく暮らしてるだけの可愛い女の子だから。殺す気なのはそっちだろう。女の子の家を訪問するのに、剣を構えてとは無粋だね
黒猫,にゃー
魔王,おお、黄昏よりも暗き者、そこにいたのか……
俺,まさか、あの猫、高位悪魔……
魔王,ん？ただのケットシーだよ
俺,ぷっ
魔王,あっ、こら！何で笑う！ボクがケットシー好きで悪いか！
俺,だって、黄昏……猫に……ぷっ
魔王,あー！バカにしたな！。……ふふっ、でも、ようやく笑ったね
俺,……
魔王,ふふー段々君のことが分かってきたね、ね、そう思わないかい、黄昏よりも暗き者
黒猫,にゃー
魔王,よーしよーし
黒猫,みゃー
俺,……
魔王,キミさ、ずっとここにいなよ。ここはなんでもあるし、平和そのものだよ
俺,はっ？
魔王,それにボクは、キミが歳をとっても、今の姿と大差ないよ。魔族は、君達より三倍長く生きるから。ボクは人間から見てもなかなか魅惑的な外見をしていると思うのだけれど、どうかな？。ボク、恋愛小説みたいな恋がしてみたかったんだけど、どうかなぁ？
俺,バカにするなよ、魔族の女が……！
魔王,振られちゃったかぁ……失恋してみたいという夢がかなったけど、そうか、あの戯曲脚本の主人公はこんな気持ちだったのか……。さて、キミの狙いは、これだろう？治癒魔法レベル５のスクロール……
俺,！
魔王,ははは、当たりか。人間の願いなんてそんなもんだよね。キミの性格からして、財宝目当てとは思えないし。結界魔法に隠匿されてた魔王城に忍び込むなんて勇者顔負けな真似するんだもんね
俺,…………
魔王,でも、どうしてキミなんかに感知できて、他の人が誰も来ないんだろう……まぁ、そういうこともあるのかな。巡り合わせ、運命という奴か。ロマンチックだね
俺,………
魔王,大事な人が病気なんだ？
俺,……ああ、そうだ。俺の恋人が、病気で、もう長くない……医療錬金術師からも、些事を投げられた。遺失魔法、レベル５の治癒魔法じゃないとどうにもならない、と……
魔王,…………
俺,お願いだ、お前が話の通じそうな奴だからこそ話した。それを、どうか……
魔王,いいよ
俺,！
魔王,でもタダじゃない。魔族の女は、我儘で、強欲なのさ。そのスクロールはあげてもいい。でも、キミにはこの城へ絶対に戻ってもらう。そして人間の短い生涯を、このボクに捧げてもらおう
俺,なっ！
魔王,破格の条件だよね。ただの人間一人の生涯と引き換えに、伝説の魔法が手に入るんだ
俺,ぐ……ぐう……
魔王,…………。はは、やっぱりその娘と一緒にいたいんだ？。あ、ボクは異界との契約でこの城から絶対に出れないから、ボクが君について行ってあげるのは無理だよ。キミはそう言うのは苦手かもしれないけれど、婿養子になってもらう
俺,……わかった、わかった……必ず、俺は、ここへ戻……
魔王,いいよ、あげちゃう
俺,えっ？
魔王,ちょっとからかっただけだったんだけどね。ボクのユーモアのセンスはどうだったかな？ケットシー以外には初めて披露したんだけど
俺,は？
魔王,あ、紅茶冷めたね。もう新しいのと入れ替えるね。はい、どうぞ
俺,…………
魔王,初めてニンゲンと話したけれど、とても興味深いね。久し振りに楽しかったよ。そのスクロールは、まぁ、そのお礼ってことにしておいてくれ。あ、紅茶のシミとケットシーの足跡がついてるけれど、効果には問題ないはずだよ。多分
俺,…………
魔王,…………。もうここに来ちゃあダメだよ
