あかり(24歳),きょ、京子ちゃん、飲み過ぎだよ
京子,いいのいいの、こういう日くらい無礼講無礼講！！こうやってごらく部と生徒会のみんなが集まれることなんて滅多にないんだからさー
綾乃,だからって、あなたは飲み過ぎよ。まったく…
結衣,まぁ、確かにこうやってみんなで集まれる機会なんてなかったもんね
ちなつ,このメンバーでも集まったのも久しぶりですよね
千歳,それぞれ自分のことで忙しくなってもうたからなぁ
京子,そうだそうだぁ。だから、ほらほら、あかりも飲め飲めぇ
あかり,い、注ぎすぎだよ！？。そ、そういえば、京子ちゃんって今何してるんだっけ？
京子,へ？私？よく聞いてくれた！私は>>3をしてるよぉーん。私はバイクレーサーをしてるんだよーん
ちなつ,驚きましたよね。てっきり漫画家にでもなるかと思ったらレーサーになってるんですもん
京子,んまっ、趣味は趣味のままにしたいじゃん？仕事にするとなんか堅苦しいと思ってさ
櫻子,おぉ、さすが歳納先輩、かっこいいっ！
京子,まぁね。…ただ最近どうもね、本当にこれで良かったのかなって思うことがあるんだ
結衣,これでいいって…お前がなりたいって始めたことだろ？
京子,そうだけどさー、最近どうも勝てなくてね。みんなまだ若いからっていうけど、私くらいの年齢で凄い人は本当に凄いしさ…なんか自信なくすよね…
あかり,京子ちゃん…
京子,って湿っぽい話は終わり終わり！！まぁ、私はこんな時でやってるよ。綾乃とかは何してんだっけ？
綾乃,私！？わ、私は>>5をしてるけど。私は秘書をしてるけど
千歳,ほんま、綾乃ちゃんには天職やなぁ
向日葵,前にテレビに出てたましたわよね。上司のスケジュールを完璧に管理する美人秘書って
綾乃,あれはオーバーに紹介されてるだけよ。私なんて大したことないわ
京子,またまたー、いいねぇ、綾乃ちゃん成功しててさー。秘書の仕事楽しんでるー？
綾乃,まぁ…仕事は楽しいわね。生徒会の頃から書類整理とかで慣れてるからかしら。それに…
京子,それに？
綾乃,期日までに書類を出さないような厄介な人の扱いにも、あの時に慣れさせてもらったもの
京子,おぉ！ってことは綾乃の成功の秘訣は私ってこと？
綾乃,さぁ？どうかしらね？
京子,こらこら、ちゃんと言えー！！京子様のおかげだって！！
結衣,こらこら、あまり綾乃に絡むなって
