［名・形動］飾りけがなく、清らかなこと。また、そのさま。,清楚なアイドル
清楚に満ち溢れているさま。,ほとばしる清楚力
美波,押忍！清楚力を取り戻すわよ！夕美ちゃん！
夕美,押忍！清楚力を取り戻そうね！美波ちゃん！
2人,やるよ！！
文香,押忍…気合い充分ですね…お2人とも…
美波,もちろんよ。道着を着たことで身も心も引き締まっているもの
夕美,ふふん。もう私のりりしさが溢れ出ちゃってるかな♪
文香,凛々しさ…？
夕美,りりしさ！
美波,さて。いつものように3人が集まったところで今回の合宿の趣旨を説明するわね。よろしくお願いします
夕美・文香,よろしくお願いします
美波,こうして連休中に道場に集まってもらったのは他でもない。我々が遠い昔に置いていってしまった清楚力を取り戻すためよ！
夕美,清楚力…！
文香,お言葉ですが美波さん…我々は清楚すぎるほどに清楚なのではないでしょうか…清楚といえば我々…我々といえば清楚です…
美波,甘いわね。文香さん。ここに清楚力スカウターを用意してあるから装着してみて頂戴
夕美,さも当然のようにハイテクな機械が出てきたね！胴着に合わないね！
美波,晶葉ちゃんに協力して作ってもらったものよ
文香,ふむ…では早速…私が装着してみましょう…変身っ…
美波,そんな機能はないわ
文香,言ってみたかっただけです…さて。…美波さんの清楚力は26…夕美さんの清楚力は21…しかし、この数字が高いのか低いのかわかりませんね…
美波,スカウターは1から100までの数値で清楚力を表示するの。ちなみに自称普通の卯月ちゃんは70よ
夕美,じゃあ21って相当低くない！？
美波,ええ。だからまずいのよ。学校のテストでいえば赤点の補習組。私たちはアイドル留年の危機に瀕しているのよ
文香,…ちなみに私はどうなっていますか？
美波,スカウターを貸して頂戴…ええと…文香さんの清楚力は25ね
文香,美波さんたちと…目くそ鼻くそほどの差しかありませんね…
【鷺沢文香】清楚力24,-1
美波,あっ。いま24に落ちたわ
文香,…！？
美波,きっと目くそ鼻くそという言葉が清楚力を弱めたのね。清楚らしかぬ言動や行動は清楚力を減少させるのよ
文香,り、理不尽極まりないです…諺なのに…
夕美,なるほど。そういうことなのですわね
美波,ええ。だから振る舞いや言動には充分注意して頂戴
夕美,かしこまりましたわ！
美波,夕美ちゃん。清楚力が1下がったわよ
夕美,なんでですの！？
文香,普段と違う言葉遣いをしても…パッションが際立つだけですよ…花
美波,私たちの清楚力が著しく低い状態にあるのは理解してくれたわね？それを踏まえて、まずはどうやったら清楚力を飛び戻せるのかという話から始めるわ
夕美・文香,よろしくお願いします
美波,清楚力を取り戻す方法！それは邪念を打ち払うことよ！
夕美,邪念を打ち払う？
美波,要するに浅ましい心を捨て去るのよ。例えば、プロデューサーさんのベッドにダイブしてみたり、シャツに顔を埋めてこっそりハスハスしてみたり、フラワーパークにデートに誘ったり、一緒にアイスを食べたり、そういう心を一切捨ててもらうわ！
夕美,美波ちゃん！美波ちゃん！ピンポイントで私を非難してないかな！
美波,気のせいよ。夕美ちゃん
文香,ふむ…しかし、浅ましい行動を控えるだけで清楚力は上がるものなのでしょうか…低下を防ぐことはできても…向上には繋がらないのでは…？
美波,いい質問ですね〜
夕美,…池上彰？
美波,文香さんの言う通りよ。単なる節制だけでは清楚力は上がらない。清楚力を上げるためには節制と同時に清楚トレーニングをしなければならないわ！
夕美,また愉快な名前の造語が出てきたね
美波,シャラップ。夕美ちゃん、気を引き締めなさい。清楚トレーニングは過酷なものよ
夕美,はい
文香,押忍…清楚を取り戻すためなら何でもやります…
美波,ふふふ。それじゃあ清楚トレーニングの講師を呼んであるから。みんな挨拶を！
慶,ルーキートレーナー
夕美,わー、慶さんだ。よろしくね♪
慶,よろしくお願いします♪
文香,…
美波,どうかしたの？文香さん？
文香,…。美波さん…このささみは我々の指導者として適当な人選とは思えません…リコールを要求します…
慶,いきなりの解任要求！
文香,ええい…いかにも清楚そうな顔をしても無駄なのですよ…その仮面の裏に…浅ましい末っ子の顔があることを私は知っているのです…この意識高い系のファッション清楚…
慶,な、なんてことを言うんですか！私は清楚です！皆さんよりも頭一つ抜けて清楚ですよ！見てください！この滲み出るおしとやかさを！
夕美,わー♪
【青木慶】清楚力24,-1
文香,…
美波,…
慶,文香さん！美波さん！憐れみの目を向けるのはやめてください！
文香,…どうします？
美波,そうね。私が呼んでおいて何だけど、帰ってもらおうかしら
慶,それは嫌です！断ります！私も清楚を取り戻しに来たのですから！私も清楚力が最近失われつつあることを自覚しているのですから！回復せねばならないのですから！。絶対に帰りませんから！
美波,教師役で呼んだのに…
文香,仕方ありません…教師としては扱いませんが…共にトレーニングをする仲間であれば歓迎しましょう
慶,美波さん…文香さん…！
夕美,一緒に頑張ろう。慶さん！
慶,はい！頑張りましょう！夕美さん！
文香,全体のパッション成分が増してしまいましたが…大丈夫でしょうか？
美波,心配ないわ。知将・新田美波。これくらいの困難は乗り越えてみせます
文香,頼もしい…
美波,それでは改めて…押忍！トレーニングを始めたいと思います！
3人,押忍！
美波,まずこちらの清楚表を見て頂戴
【70】手の届かない清楚,事務所平均値
【20】残念な清楚,清楚組の現在
美波,これは清楚表。清楚力の指標となるものよ。今のところ私たちは全員欠点が目立つ残念な清楚。かろうじて清楚ではあるものの、限りなくモブに近い清楚というわけね
夕美,0は何なの？
美波,まだ清楚力が覚醒していない子が当てはまるものよ。晴ちゃんとかありすちゃんとか柚ちゃんとか。大雑把な分け方だけどお姉さん扱いされない子は清楚力0になるわね。決して非清楚というわけではないわ
夕美,なるほど
文香,先生…質問です
美波,どうぞ。文香さん
文香,仮に目標を70だとして…我々はどれくらいの期間で清楚力70に達することができるのでしょうか…？
美波,ダラダラと時間をかけてはいられないわ。5日よ
3人,5日…！
美波,もちろんトレーニングは厳しいものになるわ。でも、その分清楚力の大幅な向上は期待できるはずよ
慶,具体的には何をするのですか。先生
美波,本来、それを慶さんに教わろうと思っていたんだけど…まあ非清楚とわかってしまったから仕方ないわ
慶,ごめんなさい
美波,私たちのトレーニングはこの本を参考にしながら進めるわ！
文香,誰が書いたのですか…この本は…？
夕美,著者:桑山千雪監修283プロダクション事務員・P
文香,桑山千雪…確か283プロのアイドルでしたね…おのれ…このような自己顕示欲にまみれた本を出して知名度アップを狙うとは…なんたる卑しさ…
慶,ええ！救いようがなく心が卑しいですね！おまけに身体も卑しいです！あの肉付き！あの尻！あのバスト！タレ目に加えて母性キャラ！手の施しようがない卑しさです！
