モバＰ(以下Ｐ表記),…うわ、雨降ってきやがった
Ｐ,天気予報見ておいてよかったわ、えっと、傘、傘…。本格的に降り出す前にさっさと帰るか。ハゲンダッツが溶けちまうし。折角のオフなのに芳乃は地方ロケで留守、久しぶりの一人ぼっちの休日だよ。…スーパーの店先でブツブツ言ってても仕方ないわな、帰ろう。…べちゃり？
まゆ,Ｐさぁぁん…
Ｐ,うわぁ！まゆだ！まゆが出たぞぉ！！
まゆ,酷いです…まゆをまるでお化けみたいに…
Ｐ,ああ、すまんすまん。でも振り返ったらずぶ濡れの女の子が背後に立ってるとかホラーだろ。てっきり妖怪濡れ女かと
まゆ,ハッキリとまゆ
Ｐ,って、なんでそんなずぶ濡れなんだよ…ああもう仕方ない。ちょっと来い。ウチすぐそこだから
まゆ,えっ？い、いえ…アイドルがプロデューサーとは言え男性のご自宅に入るのは、色々まずいんじゃあ…
Ｐ,このまま風邪引かれるほうがマズイわ。すぐ近くだから、いいから来なさい
まゆ,あんっ、Ｐさん…強引なんですねぇ…
Ｐ,ただいまー。って、誰もいないんだけどな。待ってろ、今タオル持ってくるから
まゆ,はぁい
Ｐ,お待たせ、ほら。洗い立てだから安心していいからな
まゆ,ありがとうございますぅ。…別に、まゆはＰさんの使ったタオルでも気にしませんけど
Ｐ,俺が気にするわい。しかし見事にびしょ濡れだな…髪も服も大惨事じゃないか
まゆ,うっかり傘を忘れて外に出てしまって…でもよかったです。偶然Ｐさんに会えて。本当に助かりましたぁ。やっぱりＰさんは優しいですよねぇ
Ｐ,自分とこのアイドルが街中で濡れ鼠になってるのを無視するプロデューサーがいるか。と、言うわけでだ。傘貸すから、一人でちゃんと帰れるか？
まゆ,そんな、Ｐさんお一人のところをまゆがお邪魔する訳には…。…
Ｐ,…
まゆ,……はい？
Ｐ,冗談だよ
まゆ,…も、もうＰさんったら、まゆビックリしちゃいましたよぉ？
Ｐ,タクシーぐらいちゃんと呼ぶって
まゆ,ちょっ
Ｐ,えっと…タクシー会社の番号は、っと…
まゆ,ぷ、プロデューサーさん…？あ、あの、本気じゃないですよ、ねぇ…？
Ｐ,え？。…冗談だっての。足元にタオル敷いたから靴脱いで足拭いて上がりな。リビングもエアコンつけといたから
まゆ,Ｐさぁん…。うんしょ、うんしょっと…。それでは、お邪魔しますねぇ
Ｐ,はいはい、どうぞ。暖房どうだ？熱かったり寒かったりしたらちゃんと言えよー
まゆ,大丈夫ですよぉ
Ｐ,まゆー、コーヒーと紅茶とスタドリどれがいいー？
まゆ,あ、ふぉんふぁふぉんふぁ、おひゃふぁいふぁふ
Ｐ,そんなそんな、お構いなく。じゃねぇよ俺のシャツ頬張らないで下さいお前はどこぞの渋谷凛ナントカさんか
まゆ,あぁっ、まゆのシャツがぁ…
Ｐ,俺のですけど！？
まゆ,ふー、ふー…あぁ、暖かいです…
Ｐ,服もグチョグチョだな…仕方ない、今湯船の準備してるから風呂入っていきな
まゆ,っ！。そ、そこまでしてもらうのは流石にＰさんのご迷惑になってしまいますから大丈夫ですよぉ…？
Ｐ,まゆは謙虚な娘だなぁ
まゆ,そ、それにまゆ着替えなんてありませんし…
Ｐ,芳乃の服…は、入るか？まぁ無理だったら俺の服ぐらい貸すけど
まゆ,っ！！。そ、そんな…まゆはＰさんに迷惑をかけたくないですよぉ…
Ｐ,うん、まゆは健気で良い娘だな。お、風呂の準備が出来たみたいだ、入ってきな。そのままじゃ風邪引くぞ
まゆ,は、はい…それじゃあ、お言葉に甘えちゃいますねぇ…？
Ｐ,あ、下着はどうすりゃいいんだ…流石に芳乃の貸す訳にはいかないだろうし…
