お化けギャルソン,怪談レストランへようこそ。私支配人のお化けギャルソンです。
ギャルソン,お久しぶりですね。なぜに今更と思われるかもしれませんが。理由といえばこんな暑い日は肝の冷えるような思いをするのも。それもまた風流ではないでしょうか。本日は特別メニューを準備致しましたので、僭越ながら私がご案内しましょう。前菜は忍び寄る音の気配、”近づく音”。メインディッシュは逃げ場のない密室からの使者”悪魔のエレベーター”。デザートは常夏の琉球に伝わるお話”赤い子と青い子”。外部より素材を取り寄せたものになりますので味付けが少々特殊になっております。それではまずは前菜の近づく音のサラダによく冷えたドレッシングをかけておりますので心まで冷えるでしょう
ショウ,うわばきおばあちゃん？
アンコ,うん。最近流行ってるらしいの。うわばきおばあちゃんに目をつけられた人には近づいて来るらしいの
ショウ,近づいて来るって何が？
アンコ,姿かたちは見えないんだけど上履き同士を打ち付けたようなパンパンって音が来るんだって
レイコ,またあんたたちそんな話しているの？。大体姿かたちは見えないのになんで上履きってわかるのよ
ショウ,それに追いつかれたらどうなるのかも気になるな
アンコ,わからないわよ。聞いただけなんだし
ショウ,誰から聞いたんだい？
アンコ,マリから聞いたけど。マリも友達から聞いたって行っていたわ
ショウ,…
レイコ,ほらね噂なんてそんなもんよ
アンコ,私にいわないでよ！…でもインターネットで調べても出てくるらしいよ
ショウ,それなら今から調べにPC室に行こう
アンコ,ええー、やだよ。鍵を借りに行くのめんどくさいし
レイコ,それなら大丈夫よ。私が丁度鍵を持っているし
アンコ,うへぇ
ショウ,検索ワードはうわばきおばあちゃんでいいのかな
レイコ,へぇ、ショウくんってブラインドタッチ出来るのね
アンコ,ぶらいんどたっち？
レイコ,あらそんなことも知らないの？
ショウ,キーボードを見ないでタイピングをすることさ。よく知ってるね
レイコ,最近家にパソコンが来てね。ネットサーフィンにはまっていてこういう言葉も一通り調べたのよ
アンコ,ふーん、それでレイコはできるの？ぶらいんどたっち
レイコ,…
ショウ,覚えたばかりの言葉をすぐ使いたくなるんだね
レイコ,う…うるさい！！
ショウ,うーんだめだ。さっき聞いた話と同じ事しか書いてないや
アンコ,というかホントにあったんだ
レイコ,収穫無しってことね
ショウ,追いつかれたあとどうなるかも書いてないし、追いかけられた時の逃げ方も書いてないな
アンコ,そ…それじゃあ追いかけられたらどうしよう
ショウ,目をつけられないことを祈るしかないね
レイコ,まったく馬鹿馬鹿しいわね。鍵を返しに行きましょう
アンコ,うひっ！
レイコ,ヒッ！！
アンコ,こ…この音って…うわばきおばあちゃん？
ユウマ,プククク、見たかよ今の顔
タクマ,うひっだってさ
レイコ,あ…アンタたちいいいいいいいいいいいいいい！！！
ユウマ,やっべぇ逃げろぉ！！
ショウ,追われるときはあんな音が聞こえるのかな
アンコ,…冷静だね
ショウ,今日はどこに行こうか
アンコ,怖くないところがいいなぁ
ショウ,それならあそこの古いマンションに行こう
アンコ,そこも出るって有名なところじゃない！
レイコ,あら今日も探検？
アンコ,うわまた来たよ
レイコ,なんかいった？
アンコ,べ…別に
レイコ,今日はたまたま暇だから付き合ってあげるわ
ショウ,たまたまねぇ
