夢見りあむ,というわけで、これといって取り柄もないぼくが、総選挙3位だなんてめっちゃやむ！
りあむ,これは夢に違いない……。おやすみ……。げへへ……総選挙1位でシンデレラだよ……。……。…………夢…………。……やっぱり夢か……そうだよね、ポッと出のぼくが50位以内どころか、3位だなんて……
？,うん、夢だよ
りあむ,だ、誰？！ぼくの汚部屋に入り込んで、え○ち風船をマッサージしてるのは！？
愛海,じゃーん！ボク、アツミえもんだよ
りあむ,パクリ！！。というか、お前の存在が夢じゃないのか！！
愛海,ふーん。こうされても？
りあむ,……うぅ……あぁ…夢……じゃ、ないの……はァんっ！
愛海,自覚したみたいだね。なら、今からトップアイドルになる極意を教えてあげるよ
りあむ,と……とりあえ…ァぁっ。そ、それ…やぁぁん！…ﾊｧﾊｧ……やめて……
愛海,まずは、色んなアイドルとお付き合いして、色んな情報を得る！
りあむ,なるほど、成功例を辿っていけば、こんなぼくでも、ちやほやされる一流アイドルになれると
愛海,いや、無理じゃないかな？
りあむ,やむ！！
愛海,情報だけ得てもねぇ。いくら人気でも体が動かないようじゃ……ダンスも歌も下手なアイドル見て楽しい？
りあむ,ぐっ……正論
愛海,なら１にレッスン、２にレッスンでしょ。さぁ、れっつエナンザム！！
りあむ,えええええ！。夢だからか、なんとなく軽々できちゃうね
愛海,マストレさーん。キルモードで
マストレ,おっけ
りあむ,少しはすこってよ！！。ぜーぜー、そういえば、お付き合いして情報を得る話はどうなったのさ……
愛海,ん？あれを見て
穂乃香,夏美さんが終わるまで頑張る……
夏美,穂乃香ちゃんが終わるまで頑張るか……
愛海,あの二人、かれこれ6時間はやってるよ
りあむ,ただの共倒れ一直線だよ！！
愛海,まぁ、それはともかくとして、他人のレッスンぶりも見た方がいいと思うから
りあむ,だ、だから…ァんっ！
愛海,とりあえず真奈美さんと一緒か、いつきさんと一緒か、清良さんと一緒か選んでいいよ
りあむ,もっと優しい世界ぷりーず！！
愛海,なら、トライアドと一緒か、ピンチェと一緒か、ポジパと一緒かなら？
りあむ,……ポジパだけは勘弁だよ。茜ちゃんについていける自信がないよぉ……。あと、ピンチェって響子ちゃんの例のお掃除があるんだよ……ね？やむ……
愛海,なら……
加蓮,ようこそ。トライアドプリムスのレッスン講座へ
りあむ,よろしくお願いするよ！
奈緒,なぁ、本当にやるのか？
凛,加蓮がやりたがってるからね
りあむ,何？何があるの！？
加蓮,大丈夫だって。とりあえず団結力をつける為、お揃いのネイルアートをするから
