春日未来,以下、未来
ミリP(以下、P),おっ、未来。おはよう
P,……抱きつくのはやめないか？
未来,でへへ……ドキドキ、してくれますか？
P,ああ、主に目の前にいる律子のお陰でな
秋月律子,以下、律子
P,いや、怒るような事でもないだろ……
律子,……まぁ、良いですけど。……プロデューサー殿、そろそろ時間じゃ？
P,おっ、そういえばそうか。未来、レッスン行くぞ！
未来,はい、分かりました！今日も頑張っちゃいますね！
P,よし、良い返事だ……それじゃ早速
未来,はいっ！
音無小鳥,以下、小鳥
P,……別に手を繋がなくて良いんだぞ？
未来,……そ、それじゃ
小鳥,！？！？
未来,……ど、どうですか？
P,どうって？
未来,その……ドキドキしたり、とか
P,……腕にしがみつかれると歩きづらい事は確かだな？
律子,プロデューサー……！
P,ひいっ！い、行ってきます！。捕まってろよ未来！
未来,は、はい……い、いってきま～す！
律子,はぁ……まったく、コアラか何かみたいね
小鳥,仲が良いのは良い事じゃないですか
律子,それは、そうですけど……
小鳥,？
律子,……いえ、指摘はヤボね。それじゃ、私もレッスン行ってきますね
小鳥,はい、いってらっしゃ～い。……さ、頑張らないと！
未来,たっだいまー！
小鳥,ふふ、お帰りなさい
未来,小鳥さん、ただいまでーす！
小鳥,あら、プロデューサーさんは？
未来,えっと……他の子のレッスン見てくるって言ってました！
小鳥,あらら……それじゃ、帰ってくるのはもう少し後になるのかしら
未来,はい……
小鳥,……プロデューサーさんいなくて寂しい？
未来,……さ、寂しいです
小鳥,ふふ、プロデューサーさんと最近ずーっと仲良いものね
未来,えっ、仲良く見えますか！？
小鳥,ええ、まるで兄妹みたい
未来,きょう、だい……ですか
小鳥,……未来ちゃん？
未来,小鳥さん……聞きたい事があるんですけど
小鳥,な、何かしら？
未来,どうやったら、プロデューサーさんに女の子として見てもらえるんでしょうか……
小鳥,……えっ？それは、もしかして
未来,いっつも妹みたいにぃ……
小鳥,だ、大丈夫よ未来ちゃん！プロデューサーさんだって男なんだから！。可愛い女の子の事、なんとも思ってないなんてないわよ！。プロデューサーさん、未来ちゃんの事は特に大事にしてるし……
未来,でも、この前お泊まりした時は何もしてくれなかったんです……
小鳥,……オトマリ？。えっ、プロデューサーさんの家泊まったの！？
未来,はい、ご飯美味しかったです！
小鳥,なんて事なの小鳥、まさか14歳に先を越されるなんて……
未来,布団にも潜り込んだのに……
小鳥,……ど、どうだったの？
未来,？どうって、何がですか？
小鳥,プロデューサーさん、何かしてくれた……？
未来,……ぎゅ、ぎゅってしてくれました
小鳥,！？
未来,それにそれに、頭も撫でてくれて……！
小鳥,……ぐふっ
未来,でへへ～……あったかかったです
小鳥,嗚呼、世の中は何て無情なの……
P,ただいま戻りました
小鳥,あっ、元凶！
P,な、なんですか藪から棒に！？
小鳥,とぼけたって無駄ですよ！もう証拠は挙がってるんですからね！
P,証拠？いったいなんの……
未来,あの、プロデューサーさん
P,未来、どうかしたのか？
未来,あ、あの……お泊まりの事、話しちゃいました
P,ああ、だからか……
小鳥,だからか、じゃないですよ！。そもそも何でアイドルを家に泊めてたんですか！？
P,宿題教えてただけですよ、未来が宿題終わってないって言うから
小鳥,それなら事務所とか劇場でやればいいでしょう！？
P,……そ、それはそうですが
小鳥,…………
P,……ゴメン未来、次からお泊まりはナシって事で……
未来,えっ……。ど、どうしてもですか？
P,ど、どうしてもだ
未来,……え、えっちな本の事みんなにバラしちゃいますよ？
P,！？ど、何処にあった奴の事だ？
未来,ベッドの下です！
P,み、見つかってたのか……！
小鳥,教えて、未来ちゃん？
P,コラ、何聞いてるんですか！？
小鳥,だって気になるじゃないですか！
P,俺のエロ本事情がなんてどうだっていいでしょうよ！。未来、絶対話しちゃダメだからな！
未来,…………
P,……す、スイーツバイキングでどうだ？
未来,食べ放題ですか！？
P,勿論だ、俺の奢り！
未来,……それなら、許してあげます
P,顔ニヤけてるぞ未来
未来,あっ、見ちゃダメですよ！
小鳥,……命拾いしましたね
P,ははは、なんとでも言いたまえ音無君。……そういえば、そろそろか
小鳥,予定でもあるんですか？
P,はい、少し予約してるのがあるので。それ取りに行くんで、また事務所空けますね
小鳥,分かりました、留守は任せて下さい！
未来,わ、私もついて行っていいですか！？
P,ごめん、ここは俺一人で行ってくるよ
未来,えっ……
P,悪い、これはちょっと特別でな。それじゃ、行ってきます！
小鳥,はい、いってらっしゃーい！。……ま、取りに行ったものの予想は出来るけど。さて、当人は……
未来,…………
小鳥,み、未来ちゃん！？
未来,や、やっぱりプロデューサーさん……私の事なんてぇ
小鳥,お、落ち着いて！嫌いならお泊まりなんてさせてないわよ！？
未来,で、でもこの前だって……。どーですか、プロデューサーさん！
P,あれ、その恰好……
未来,えっへへ……琴葉ちゃんから借りたんです！。どうですか！？
P,ミニスカポリスなぁ……うん、可愛いと思うぞ
未来,やったぁ……でっへへ♪
P,ところで、なんでそんな格好してるんだ？
未来,えっとですね、試したい事があって……
P,……指鉄砲？
未来,はい！それじゃ、いきますねー……！。アナタのハートを狙い撃ち、ですよ！。えいっ、バキューン♪
P,ぐぅっ……！
未来,おっ、効いてますか！？
P,あ、あぁ……滅茶苦茶効いてる
未来,こ、恋人にしたいと思いましたか！？
P,おもっ……よくて妹だな！
未来,えー、そんなぁ！折角やったのにぃ。……おにいちゃんのイジワル
P,…………
未来,……意識、してくれなくてぇ
小鳥,もうオチてる気がするんだけど
未来,小鳥さん……私、どうすればいいんでしょう
小鳥,あ、うん……。どうすれば……
P,ただいま戻りましたー
小鳥,……おかえりなさい
P,……な、なんですか
小鳥,いえ、なーんでもないですよ！
P,なんでですか……未来からも何か言ってやって。未来！？なんで泣いてるんだ？
未来,ぐすっ……ぷろでゅーさーさーん……
P,……何かあったのか？
未来,……お願いが、あるんですけど
P,俺に出来る事なら聞いてやる！なんだ？
未来,……どうしても、お泊まりダメですか？
P,ぐっ……そ、それはだな
未来,プロデューサーさーん……
P,……分かったよ、今日はお泊まりして良し！
未来,！
小鳥,ちょっとプロデューサーさん、甘すぎませんか！？
P,こ、断りにくいじゃないですか……
小鳥,意志が弱すぎますよ！それなら私も泊めてください！
P,飲んだくれパターンじゃないですか！
未来,♪
P,はぁ……そうだ未来、両親に連絡は忘れるなよ？
未来,でっへへ……実は、今日はお泊りするって言って出てきました！
P,最初から泊まる気だったのか……
未来,はいっ！誕生日はプロデューサーさんとお祝いするって決めてましたから！
P,俺に相談くらい……まぁ、いいか。そういう事なら丁度いいな、仕事もないし帰るか
未来,はーい！
小鳥,…………
P,……この場は、見逃していただきたく
小鳥,明日美咲ちゃんに言いつけますから
P,勘弁してもらえませんかね！？
小鳥,それなら、今度私もお家泊めてください！
P,……ぜ、善処します
未来,…………。…………
P,未来……機嫌直してくれよ
