すみれはハンバーグを頬張って美味しそうに笑みを漏らす,意外な感じだった
彼女は当たり前のように玄関の扉を開けた。,ただいま
すると、どんどんと,ここに来る前
僕は彼女の,唖然とする表情
別に聞きたいことがあるわけでもない,こっちの篠目の話を聞いたところで、僕には何の関係もない
鏡は左右が反転している。映像を撮っても写真を撮ってもそれが,実際の顔
ここまで来ると僕の気まぐれにすみれも慣れきっていて、諦めたように,どうぞお好きに
別に悪い映画でもなかったけど、篠目は,期待はずれだった
すみれは,ふむ
こっちの姪のことばかり気にかけるうちの両親には、,こちらのことも考えろ
暗くなってから、,僕
彼女は,帰りたくなったら会いに来て
とはいえ、,"この世界の"
停留所の名前は,図書館前
今度は、指をよっつならべて上下に揺らし、,ちょっとこい
ささやき声で、,これ見ろ
わたしたちは,こっちかな？
そもそも、呼び方以前の問題か。他の人がいる前で、わたしが,碓氷遼一
部室にいる生徒はまひるを含んだ四名。全員が女子。さっき,先輩
まひるは目を丸くしたあと、ちょっとつまらないような顔をして、,そうそう
本当に、ときどき、生活というものは、,物語みたいだ
その現実感の遠さが、反対に,物語らしさ
本当のところ、わたしは、,この世界
と、それだけだった。,なにその質問
刃物を持った,誰か
妙な騒ぎにでもなったら面倒だが……まあ、そのときは、,何も覚えてない
そう考えた途端、僕の意識はもはや,今ここ
現に、僕だってあさひの予知夢の通り、,碓氷遼一の自宅で
そこに付け加えるなら、どうして,誰かに見つかるような危険を冒してまで
このような経験によって得られた,と、僕が思っている
とっさに、,沢村くんの方はどうなの？
文芸部の部長さんは、,ただの風邪じゃないの？
クラスメイトたちは、,そんな奴居たっけ？
どうして穂海が僕のことを,お兄ちゃん
僕たちは、,なぜ
