モバP(以下P),ん、わかった。じゃあそういうことで
晴,母さん、なんだって？
P,今日は結婚記念日だから、夫婦でレストランに行く。なので夕飯はオレたちで調達しろってさ
晴,げー……マジかよ
P,夫婦仲睦じいのは結構なことだけど、せめて飯くらい作っていってくれよな……
晴,なー
P,どこのレストランに行く？晴の好きなところでいいぞ
晴,ん～、そういうことなら、レストランでもいいけど……今日は家で料理してみないか？
P,へ？晴、なにか作りたい料理でもあんの？
晴,いやさ、こないだ調理実習やったんだよ。そん時に作りかた習ったからさ
P,なるほど、わかった。楽しみだなー、晴の手料理♪
ちひろ,え？プロデューサーさん、今晩は晴ちゃんの手料理なんですか？いいですねぇ
晴,そ、そんな期待されるもんでもねーけどさ
ちひろ,手料理は気持ちですよ♪ね？
P,その通りです。ではちひろさん、今日はこの辺で
ちひろ,お疲れ様です。……あ、そういえば、いつもお料理しないなら、家にある具材とか分からないですよね。晴ちゃん、買いに行ったら？
晴,あ、そういやそうだな。……あれ？何使うんだっけ……
P,おいおい……大丈夫か？
ちひろ,晴ちゃんおいで、何作るかこっそり教えてくれない？
晴,ごめんな、ちひろさん。よっし！ありがとちひろさん！
ちひろ,がんばってね、晴ちゃん！
P,ん、終わったか。で、どこ寄るんだ？
晴,えーと、まずはだな……。ただいまー
P,ただいま。んでおかえり
晴,おかえりー。さて、早速作り始めよっかな！ちひろさんにレシピももらったし
P,もうするのか？疲れてないか？
晴,大丈夫だって！兄貴はオレに任せて座ってろ。オレよりずっと疲れてんだろ？
P,そうかもしれんが……
晴,まぁみてろって！
P,おう……
晴,えーと……まずはこれを洗って……
P,……
晴,よし、じゃあ次は包丁だな
P,待て、やっぱり包丁と火を扱うところはオレも手伝うよ
晴,いーから休んでろって
P,安らかに休めないんだよ……頼むから手伝わさせろ
晴,わかったよ……じゃあみててくれ
P,待て、猫の手だ！
晴,切り方なんて変わりゃしねーよ、ていっ
P,あぶねぇ！
晴,！？
P,ほら、握りはこうで、抑える手はこうだ
晴,お……おう
P,まったく……勘弁してくれ……。おい！包丁置くときは……
晴,できたー！
P,なんとか形になったな……鮭のムニエルか
晴,早速食べようぜ！
P,まぁ待て。晴、いただきます
