発掘隊隊長,ふむ、この辺りには古代人の住居の遺跡がたくさんあるようだ
隊員,隊長！見てください、こんなに沢山本が出土しましたよ！
隊長,おお！素晴らしいじゃないか！以前発見された本とは別の物か？
隊員,詳しくは調査が必要ですが、ほらここ
隊長,これは、失われた古代文字だな……どれどれ、ガ、ヴ……ガヴリール。ガヴリールドロップアウト、だな
隊員,今回出土したのは全て同じ名前の本のようです
隊長,同じ？ほう、確かに名前は同じだが、描いてある絵違うようだ
隊員,あ、隊長！よく見ると、ここの文字も違います！
隊長,これは……なるほど、これは通し番号を意味する文字だ
隊員,これが1、こっちは2……やはり詳しく調べる必要がありますね
研究員,今回発見された遺跡は古代人の住居の跡でした
隊長,ああ、それもかなりの大都市のようだった
研究員,そして、どの住居からも同じ名前の本が出土しています
隊長,ガヴリールドロップアウトだな
研究員,はい、通し番号の入ったガヴリールドロップアウトは1番から始まり、発見された物だと300番が最後になります
隊長,300個のガヴリールドロップアウトか
研究員,しかし未発見の番号の物もありますし、状態が悪く中身を確認できないガヴリールドロップアウトも多い
隊長,これからの発掘作業で発見できれば良いのだが……しかし状態が良いガヴリールドロップアウトもあったろう？そちらの解読はどうだ？
研究員,進んでおります……現時点で判明している内容から推測しますに、これは聖書と呼ばれる類の本ではないかと
隊長,聖書とは、古代人が生きるための指標にしたと言う、あの聖書か？
研究員,その通りです。このガヴリールドロップアウトというのが恐らく題名ですが、この部分にも共通の古代文字が記されています
隊長,本当だな、発掘した時には気づかなかったが……う、かみ
研究員,えぇうかみと書かれているようです
隊長,うかみ、うかみ……！
研究員,気づきましたか
隊長,かみとは、古代人の信仰の対象の名前だったな
研究員,どの住居跡からも発見された事からも聖書で間違いないかと
隊長,素晴らしい！では、その内容の方も聞かせてくれないか
研究員,では、この通し番号1のガヴリールドロップアウトから……この本には物語があります
隊長,ふむ
研究員,本の名前と同じガヴリールと呼ばれる二足歩行の生物が、様々な体験をしていく……というような物語です
隊長,二足歩行の生物とは、恐らく古代人だろうな
研究員,この本が発見された事で古代人の研究も飛躍的に進むと思いますよ
隊長,素晴らしい、素晴らしいなガヴリールドロップアウト！
研究員,では続きを……このガヴリールが所属する派閥と、それと敵対する派閥の二つの勢力が存在しているようです
隊長,ふむふむ
研究員,このガヴリールは、彼女の所属する派閥の中でも優秀な個体だったようですが、しかし環境の変化によりその能力を失ってしまいました
隊長,古代人の環境適応能力は、我々ほど高くなかったのだな
研究員,そのようで
隊長,環境の変化とは、具体的にはどのような？
研究員,二つの勢力とは別の、第三勢力が登場します
隊長,ほう
研究員,その第三勢力の生息地にガヴリールは住む事になりました
隊長,それは何故だ？
研究員,ガヴリールが所属する派閥は第三勢力へ利益を与える存在のようですので、その調査が目的かと
隊長,なるほど……では敵対する派閥は、それを良しとしない思想の持ち主という訳だな？
研究員,さすが隊長殿、その通りでございます
隊長,ふふふ……さ、続けて続けて
研究員,そんなガヴリールは、敵対勢力に属する個体と接触します
隊長,すると争いという現象が発生するのだな
研究員,いえ、この敵対勢力の個体ヴィーネもまた、彼女の所属する派閥の中でも異端の存在のようでして
隊長,どのような？
研究員,ヴィーネの派閥はガヴリールの派閥と敵対関係にありますが、しかしガヴリールは環境の変化によって能力を失っています
隊長,うむ
