※時系列は一応,ツナグ、ソラモヨウ
かすらん,ボーカルシャッフル？
月島まりな,うん。Poppin'PartyとAfterglowでね
まりな,そういうこと♪
香澄,すごいすごーい！楽しそう！
美竹蘭,ちょ、香澄！落ち着いて！・・・詳しく聞かせてください
香澄,おお・・・そんなあっさりと・・・
蘭,まあ想像に難くないですね
まりな,でもPoppin'Partyもロックな曲歌うでしょ？
蘭,でも・・・
香澄,シャッフルってどういう場面でやるんですか？
蘭,結構長い・・・。・・・まだやるって言ってませんけど？。言われなくてもそうしますよ。そりゃ香澄はそうだろうけど
香澄,？
蘭,いや、あたしが人と話すの得意じゃないこと知ってるでしょ・・・？
香澄,ポピパでも？
蘭,ていうかAfterglow以外なら誰でも。だと良いんだけどね・・・
香澄,心配性だな～
蘭,香澄は不安じゃないの？たった一人で他のバンドと組むなんて。・・・香澄？
香澄,・・・そっか、私がAfterglowに、かぁ・・・
蘭,？何か言った？
香澄,な、なんでもない。ただ、ちょっと不安が・・・
蘭,？。あ、ちょっと！
香澄,行っちゃった・・・
蘭,とにかく皆と話し合うのが先だね
香澄,だね。私はこれから蔵練に戻るから丁度よかったよ
蘭,くら・・・なに？
香澄,蔵練だよ、蔵練。有咲の家の蔵で練習するから蔵練！
蘭,へ、へえ・・・
香澄,蘭ちゃんはどうするの？
蘭,あたし達今日はOFFだから、真っ直ぐ帰るつもり。え？
香澄,折角だし、ポピパの練習風景を見るのはどうかなーって
蘭,い、いいよ別に
香澄,そうか～・・・無理強いしてごめんね
蘭,・・・
香澄,じゃあまたn
蘭,・・・あ、待って香澄！
香澄,ん？
蘭,その、練習見るわけじゃないけどさ・・・
香澄,みんなお待たせ～！
牛込りみ,あ、香澄ちゃん。おかえり
市ヶ谷有咲,思ったより早かったな
香澄,そうかな。みんな何してたの？
花園たえ,ふぁいほーふ、はんふんおこしてほいたから♪
有咲,半分って食いかけじゃねーか！
香澄,わー、ありがとう♪
有咲,いいのかよ！？
香澄,ん～♪おいひ～♪
たえ,おいひーね、香澄♪
沙綾,ところで、まりなさんからの呼び出しって何だったの？
りみ,急に呼ばれたからって出ていったときはビックリしたよ
一同,？
香澄,ほら、いつまでそこにいるの？入ってきてよー！
一同,？？？
蘭,えっと、どうも・・・
有咲,！？
りみ,え、蘭ちゃん？
沙綾,へー、珍しいお客さんだね
たえ,なんだ、人間か
有咲,何だと思ったんだよ！？。つーか、なに勝手に入れてんだよ！許可取れ！
香澄,ちゃんと取ったよ！おばあちゃんから！
有咲,私からも取れええええええ！！
蘭,ごめん。香澄を責めないで。あたしが頼んだの
りみ,え？どういうこと？
香澄,実は、まりなさんにね。だから私が案内したの
りみ,そうだったんだ
沙綾,にしてもボーカルシャッフルね～
有咲,また突拍子も無いこと言い出したな・・・
たえ,・・・・・・
香澄,おたえ？どうしたの？
たえ,・・・香澄は、受けたい？
香澄,・・・うん。出来ればね
りみ,・・・？
沙綾,出来ればって？
香澄,いや、その、凄く楽しい企画だとは思うんだよ？
沙綾,・・・香澄？
たえ,・・・・・・
有咲,んだよ。はっきりしろよ
りみ,意外だね・・・やるって即答するかと思ったのに・・・
香澄,いや、受けるよ！やりたいよ！？うん！やる！
有咲,お、おう
沙綾,やりたいんだね？だったら
たえ,待って
香澄,え？
たえ,香澄。本当に受けたいの？
香澄,う、うん！勿論だy
たえ,目が泳いでる
香澄,っ！
たえ,香澄がキラキラドキドキしてないなら意味ない
香澄,う・・・
たえ,応えて。本当に受けたいの？
りみ,香澄ちゃん・・・どうしたの？
有咲,悪いもんでも食ったのか？
沙綾,有咲！
有咲,じょ、冗談だって！
一同,・・・・・・・・
蘭,・・・ねえ。CiRCLEで言ってた不安ってなに？
香澄,・・・
沙綾,不安？
有咲,なんの話だよ
たえ,そうだったんだ
りみ,香澄ちゃん。なにが不安なの・・・？
香澄,・・・あー・・・いや、大したことじゃないと思いたいんだけどね
一同,・・・
香澄,ねえ蘭ちゃん
蘭,？
香澄,Afterglowのみんなって幼馴染みなんだよね？
蘭,そうだけど？
有咲,？そりゃそーだろ。知り合いだし
蘭,なにが言いたいの？
ポピパ一同,・・・・・・・・・・・・・・・・・・・え？
蘭,はあ？
香澄,な、なに？
蘭,らしく無さすぎでしょ
沙綾,全くもって同感
香澄,そうかな・・・？
蘭,うん。はっきり言ってキモい
有咲,本当に香澄かてめー
香澄,そこまで言う！？
りみ,私もそう思うよ
沙綾,驚いたな～そういうこと気にするんだね・・・
香澄,驚きすぎだよ～
沙綾,・・・でもね、本当にらしくないよ香澄
香澄,そんなに・・・？
沙綾,だって香澄はどんだけ突き離しても隣にいてくれたじゃん
香澄,！。・・・
有咲,マジかよりみ！？
香澄,りみりん・・・。さーや・・・おたえは？。私の、ため？。ポピパに出来ないこと・・・。・・・
有咲,うっぜーな！いつものように直球で行きゃいいだろ！
香澄,でも～
蘭,・・・そのつぐみたちが香澄を邪険にすると思う？
香澄,・・・？
蘭,・・・そう思ってるなら心配ないじゃん
沙綾,だね
りみ,うん
香澄,え・・・？。あ・・・
有咲,んだよ、そんなこと言ってたのかよ！
たえ,ということは、香澄の不安って杞憂中の杞憂？
有咲,それ以前だよ！無駄な時間取らせやがって～・・・
香澄,え、えっと・・・ごめんなさい？
蘭,ふふ
香澄,？
蘭,大丈夫。香澄ならきっと上手くやれるよ
香澄,蘭ちゃん・・・。蘭ちゃん・・・ありがと～！！
蘭,ちょ、香澄！///抱きつかないで！！///
沙綾,あはは。仲良いんだね♪
蘭,べ、別にそういうわけじゃ・・・！///
たえ,で、香澄。結論は？。・・・・・・
香澄,・・・・・・っ！
たえ,・・・本気なんだね
香澄,うん！
たえ,分かった。私も賛成
香澄,！。うん！！約束する！！
有咲,脱皮って・・・
りみ,あはは・・・
沙綾,さて、私達ポピパは受けることにしたけど、どうする？
有咲,いや待て！！私の意見も聞けよ！？
香澄,有咲はやりたくないの？
有咲,別にやりたくないとは言ってねー！！
沙綾,じゃあ別にいいじゃん
有咲,つーか4対1の時点で私に拒否権ねーだろ
沙綾,はい決定♪
香澄,じゃあ私も行く！！
蘭,はいはい落ち着いて。あたし達は今日OFF
香澄,そうだった！じゃあ話し合える日が決まったら連絡してね！。よーし！練習始めよ！燃えてきたあああああ！！
りみ,ま、待って香澄ちゃん！まだ食べ終わってないよ～
沙綾,あはは。じゃあもうちょっと休憩しようか
香澄,うー早く弾きたい
有咲,止まると死ぬマグロか！
たえ,香澄ってお魚だったの？
有咲,んなわけねーだろ！！
香澄,うーん・・・
りみ,どうしたの？
沙綾,そうだね
香澄,その日までに私に出来ることは無いかな～って
りみ,じゃあそのあたりを重点的に練習すれば・・・
有咲,いや、さすがに時間足りねーだろ
香澄,ロック・・・Afterglow・・・演奏・・・
沙綾,香澄？
香澄,・・・ねえ、だったらいっそのことさ。どう？どう？
沙綾,うん。悪くないんじゃないかな
有咲,香澄の案にしちゃまともだな
りみ,私も普通にありだと思うな
たえ,そうだね。良いと思う
香澄,やった！
有咲,あとは、蘭ちゃんの許可が降りるかだな
香澄,うん！ちょっと電話してみる！
蘭,・・・・・・・・・・・・・・。あたしは、どうしたいんだろう。なんでだろう・・・分からない・・・。でも、だからっていい加減な理由で引き受けちゃダメだ。やるからには建前なしで全力でやりたい。切っ掛け、か・・・。着信？香澄から？。なに？。別にいいよ。どうしたの？
青葉モカ,うんうん。今日もやまぶきベーカリーのパンは絶品ですなー
モカ,ん？あれは・・・
蘭,・・・なら・・・・が・・・・いと・・・・
モカ,蘭？電話中かー
蘭,分かった・・・用意す・・・任せ・・・
モカ,用意・・・？なんの話だろー？
蘭,気にしないで。お互い様でしょ？
モカ,・・・
蘭,あはは。そんな張り切らなくてもいいって
モカ,・・・
蘭,うん。じゃあまたね
モカ,・・・
蘭,さて、どうするかな
モカ,誰からだったのー？
蘭,うわあ！？
モカ,ありゃりゃ本当に気付いてなかったか
蘭,急に出てこないでよ！
モカ,ごめんごめん。で、誰からだったの？
蘭,まったく・・・香澄からだよ
モカ,ふーん。用意って聞こえたけどなんのこと？
蘭,・・・立ち聞きとは趣味悪いね
モカ,そんなつもりは無かったんだよー信じてー
蘭,はあ・・・もういいよ。それじゃ
モカ,あれ、もう行くの？。あ、蘭。・・・・・・。・・・モカちゃん、今日は珍しく非番なんだけどなー。それにしても・・・楽しそうに電話してたなあ。あんな笑顔、あたし達以外にもするようになったんだ・・・
蘭,結局どうしたいか決めれなかった・・・。まずいどうしよう。適当な理由でやりたくないのに。切っ掛け、切っ掛けは・・・ダメだ、無理に作っても意味が無い。どうする、どうする・・・
香澄,あ、蘭ちゃーん！やっほー！
蘭,香澄。声でかい
香澄,えへへ、ごめんごめん。りょーかい！
蘭,なんで朝からこんなに元気なんだろ・・・
香澄,～♪～～♪～♪♪～
蘭,上機嫌だね
香澄,だってAfterglowの皆と会うの久しぶりなんだもん！
蘭,そうだっけ？。あー、言われてみれば。まあね。学校が違うし
香澄,距離的にはそんなに離れて無いのにね
蘭,きっかけが無いとね
香澄,だからね
蘭,ん？
香澄,あのクリスマスライブに来てくれたときは本当に嬉しかった！
蘭,あ、あれはたまたま暇だったから///
香澄,それでも嬉しかったんだよ！
蘭,ど、どうも///
