約２年前に書いた前作です。,読まなくても支障はありません。
？？？,俺様は死なん・・・この世に闇がある限り・・・必ず復活する！俺様は不死身だ！！フハハハハハ！！！
店長,さあ！今日もやるぞぉ！！ベリアル撃破半年記念セール！！
リク,て、店長・・・もうそのセールはいいかな？
店長,なーに言ってんだ！めでたいことに１週間も半年も関係ない！さあ、売って売って売りまくるぞー！！
リク,あ、あははは・・・
ライハ,平和になったとはいえ、能天気ね・・・その内１周年記念とかやりそうだわ・・・
吹雪,あ、見て見て！駄菓子屋さんがあるよ！
白雪,ホントだ！しかもセール中みたいですよ！
深雪,え～っと・・・ベリアル撃破半年記念セール？ベリアルって何？
叢雲,あ～・・・そういえば一時期慌ただしかったわね。確かそれも半年前だったような
吹雪,丁度執務室のお茶請け切れていたんだっけ！何か買って行こうよ！
叢雲,あっ！ちょっと吹雪！
店長,おお！！いらっしゃい！可愛いお嬢ちゃんたち！さ、なんでも買っていってくれ！！
吹雪,え～っと、じゃあこれとこれください！あ、後これも！
白雪,吹雪ちゃん・・・買い過ぎ・・・
深雪,お、ラムネもあるじゃん！たまには大和さんのラムネじゃないのも飲んでみようかな～
叢雲,で、つい夢中になって買い過ぎた結果がこれなの？
吹雪,うぅ・・・ごめんなさい
白雪,流石に多すぎ・・・
深雪,どーすんだよこれ！持ちきれないって！
リク,あの～。よかったら一緒に運ぼうか？
ライハ,私たちでいいなら手伝うけど？
吹雪,え？いいんですか！
白雪,でもお店が・・・
ライハ,いいのいいの。だって
叢雲,？
店長,ん？なんだ？お客さんの手伝いか？いいぞ！行ってこーい！！こっちは俺一人で充分だ！！さあいらっしゃい！！いらっしゃーい！！
深雪,あ、あはは・・・
叢雲,お気楽ね・・・
提督,いや～、やっぱりいつ見てもかっこいいなぁ！！
大淀,提督、夢中になるのはいいですけど、ちゃんと片付けてくださいね。その～なんでしたっけ？
提督,爆裂戦記ドンシャイン！！！ちゃんと覚えな！これだからもう・・・
大淀,ああそうですか！それはどうもすいませんでした！
提督,さぁて！ドンシャインのDVDでも観～よう！
大淀,はぁ・・・
リク,ま、まさか本当に軍事関係の人だったとは・・・
深雪,あー！！やっぱり信じてなかった！！
叢雲,少なくとも、アンタはそう見えないわよ・・・
深雪,ムキーッ！！言ったなぁ！！
吹雪,ちょ、ちょっと二人とも！執務室の前だよ！静かにして！
白雪,し、失礼します！
提督,おお。おかえり
大淀,その大荷物はいったい・・・それにそちらのお二人は？
吹雪,え～っと、執務室用のお茶請けと、それを買ったお店の人のリクさんとライハさん
白雪,買い過ぎちゃったので、運ぶの手伝ってもらったんです！
提督,そうなんだ。いや～二人ともわざわざありがとうございます。吹雪たちもお疲れさま！
リク,いえいえ。当然のことをしたまでで・・・・って！！！それは！！！！！！
提督,ん？
リク,プレミアムバ●ダイ3000個限定の爆裂戦記ドンシャインスペシャルカラーver！！！！いったいどうしてこれを！？
提督,ふっふっふっふ・・・予約開始時間の1時間前からず～っとPCの前に張り付いて、時間になったところを即押して、完了よ！いや～、集中したい仕事があるから暫く執務室に入らないでくれって言った甲斐があったよ！
大淀,は？
リク,くぅ～！羨ましい！！
提督,ん？もしかして君は・・・
リク,ドンドン照らすぜ！
提督,爆裂戦記！！
リク＆提督,ドンシャイン！！！
提督,おおおお！！！やっぱり、ドンシャイン好きか！！
リク,はい！僕の憧れのヒーローです！
提督,あ、今からドンシャインのDVD観るけど一緒にどう？
リク,観ます！観ます！何回でも！！
提督,おお！流石！いや～、ドンシャイン好きが増えて嬉しいよ！ウチの連中はほとんどわかってない奴らばっかりで・・・
リク,僕も1人だけいますけど、他の人・・・特にライハなんかは・・・・
ライハ,そろそろいい加減にしてくれる？
大淀,提督もこの後お話があります
吹雪たち,
リク＆提督,は、はい・・・
リク,すっかり遅くなっちゃったね・・・
ライハ,注意したにもかかわらず誰かさんがドンシャイントークし始めたからね・・・
リク,いいじゃんか別に！
ペガ,そうそう！ドンシャイン好きに悪い奴はいないって！
リク,ペガ！今日は随分静かだったね
ペガ,うん。今日はいろんな人がいたからね・・・恥ずかしくて中々出て来れなかったんだ。
リク,さて、帰ったらまたドンシャインのDVDでも・・・
ライハ,ゴホン！
リク,と、思ったけど、部屋の掃除が先かな・・・あははは・・・
ペガ,そ、そうだね！そうしよう！
大淀,まったく・・・貴方って人は・・・
提督,うぅ・・・色々とすまない。
大淀,別に買うなとまでは言いませんが、今後はきっちり報告してくださいね！
提督,はい・・・
大淀,朝倉リクくん・・・よかったじゃないですか。話の合う方が増えまして
提督,だろ？ちょっと年は離れているけど、同じドンシャイン好きにそんなの関係ない！なら、大淀も一緒にどうだ？
大淀,お断りします！
提督,はい・・・
レイト,ただいま～
ルミナ,お帰りなさい！レイトくん！
マユ,パパ！お帰り！！今日ね、幼稚園でお絵かきしたの！みてみて！
レイト,おぉ～。よく描けてるねぇ！僕とルミナさんとマユに・・・これはゼロさん？
マユ,うん！今度はもう１人のパパも描いてみたの！
レイト,はは。これ見たら絶対ゼロさん喜ぶだろうなぁ～
ルミナ,あのウルトラマン、元気にやってるかな？
レイト,ゼロさんならきっと元気にやってると思うよ！
マユ,また遊びに来てくれる？そしたらマユね、この絵見せたい！！
レイト,うん。そうだね！絶対見せようね！
マユ,うん！
ゼロ,ハックション！！
セブン,どうした？風邪か？
ゼロ,いや、なんでもない。大丈夫だ・・・
レオ,それならいいが、あまり無茶はするなよ？
ゼロ,ヘッ！心配すんなって！
ヒカリ,そろそろいいか？3人共
セブン＆レオ,うむ。
ゼロ,ああ。いつでもいいぜ！始めてくれ！
リク,よし！いつでも来ていいって提督さん言ってくれたし、さっそく今日行って・・・
ライハ,待って・・・部屋の掃除は？
リク,やったよ！
ライハ,洗濯
ペガ,やったよ！
ライハ,バイトは？
リク＆ペガ,今日はお休みー！！
リク,じゃ、そういうことで行ってきます！
ペガ,バイバ～イ
ライハ,信じられない・・・。え？それってどれくらい・・・？。なんて言ったらいいのやら・・・
提督,はぁ～・・・やっぱり失言だったかなぁ。いつでも遊びに来ていいよなんて・・・流石に引くよな。こんなおじさんに言われちゃあ・・・
大淀,以前年齢なんか関係ないっておっしゃっていませんでしたか？それに、連絡先を交換しておけばこんな事にならなかったのでは？
提督,それが持ってないんだってよ。
大淀,あら、今時珍しいですね
提督,そうなんだよ・・・ん？なんか騒がしいな
リク,だから僕は提督さんに会いに来たんだって！！
天龍,ウソつくんじゃねぇって！提督にお前みたいなお子様の知り合いいねぇっての！！
リク,ああもう！！この分からず屋！！
天龍,うるせぇ！！
提督,騒がしいぞ天龍！一体何をしてい・・・
天龍,提督！このお子様が提督の知り合いだってさっきから言って聞かねぇんだ！何か言ってやってくれよ！！
提督,おい・・・天龍
天龍,んあ？
提督,その子は私の大切な友人だ！！それ以上無礼な真似をしてみろ！どうなるかわかってるな？
天龍,うぐっ・・・す、すまねぇ・・・まさかホントに知り合いだったとは・・・
提督,分かったらさっさと手を離せ
天龍,ぬぅ・・・
リク,ふぅ・・・一時はどうなることかと。刀持ってる人ってみんな乱暴なんかな・・・ありがとう提督さん。
提督,いやいや、お安い御用さ。ところで今日は、何話観る？
深雪,しれーかん！！！大変だ大変！！
提督,今度は何だ！まったく・・・
深雪,ふ、吹雪が・・・
吹雪,す、すいません・・・司令官。油断してしまいました・・・
提督,吹雪！！大変だ！すぐに入渠してくるんだ！
リク,い、今のは一体・・・吹雪は大丈夫なの！？
大淀,心配しなくても大丈夫です。我々は日夜戦っているのですから・・・それに、入渠さえすれば問題ありません
リク,そ、そうなんだ・・・でもいきなり大けがした吹雪が入ってきたから驚いちゃったよ・・・
大淀,まあ、一般の方からしてみたらそれが普通の反応ですけど・・・提督、貴方はいい加減慣れてください。毎回毎回オロオロしてては・・・
提督,仕方ないじゃないか！！目の前に傷だらけの女の子が立っているんだぞ！慣れろって言う方が無理だろ！
吹雪,あのぉ～司令官・・・
提督,何だよ吹雪！今取りこんでるんだって吹雪ィ！？
吹雪,は、はい・・・
提督,どうして！？大破してたよな？バケツ使ったのか？
吹雪,いえ、私も分かりません。入渠しようと思ったら、修復されてて・・・
大淀,どういうことでしょうね・・・
吹雪,それと、傷は治ったんですけど、急激に疲れが・・・
