・,あと味が悪い
あと味が悪いの意味は、,悪いことをしたとは思わないが、何となく気分が悪いこと、さっぱりしないこと
長篠の戦いにおいて、織田・徳川連合軍が用いた戦法を,3000・鉄砲
音楽記号,ｆｆｆ
６８０÷２＝３４０Ａ.340,ｍ/秒
関ヶ原,ラグナロク
逆に目上が目下へかける言葉は、,ご苦労様でした
ですが,それぞれ
慣用句,猫をかぶる
ちなみにD.C.とはDistrictofColumbia、つまり,コロンブスの地
ギリシャ語の１０日を,dekahemerai
直径８ｃｍの円の面積を求めよ。,円周率はπとして扱うこと
ちなみに,Dreadnought
飛鳥ちゃんの国語の解答用紙はカオス過ぎて私ちょっと理解,わか
禁忌の観測,ドップラーエフェクト
先ほどの晶葉ちゃんの回答は、,１に対してＸをＸ回掛ける
対してこちらは、,Ｘに対してＸをＸ回掛ける
ちひろ,ふぅ……採点終了…っと
Ｐ,それで？どうでしたか、アイドルたちのテストは
ちひろ,酷いもの……とは一概には言い切れませんね。案外出来る子もいました
Ｐ,みくとか？
ちひろ,みくちゃんは、英語以外は全体的に高得点でした。英語も他の子に比べれば全然マシですし
Ｐ,まあ、誰にだって苦手な科目くらいはありますからね
ちひろ,ですね。あとは大人組も、何人か狙ってボケてくる大供を除けば、正答率は悪くありませんでした
Ｐ,ごめんなさい大半の大人が狙ってボケるイメージなんですけど
ちひろ,………まあほら、狙ってる分にはいいんですよ。正解がわかっててふざけているなら、それで……
Ｐ,あー……じゃあ、中高生の一部は……
ちひろ,勉強会必須なレベルかと
Ｐ,幸いうちの事務所には各分野に精通した教師陣が揃っています
ちひろ,これはやるしかないですね。会映の像をデータ化して得点に出も付ければ金になりますし
Ｐ,やり口が汚いんですが……なんだ、いつものちひろじゃん
ちひろ,よォし！俄然やる気が湧いてきました！早速準備を進めましょう！
燦燦,さんさん
この場合は惨憺,さんたん
クイズ番組でばっちり正解を答えてしまうみくにゃんに、,今のは外さないとダメなのに……
