【博多弁】星梨花,未来ちゃん、こんおっとっととっとっと？
千早,……お前、さっきから何ば言いようとや？のぼせあがるとも大概にせれ！
星梨花,は？別にのぼせあがっとらんし。先生こそ何言いようとー？
千早,“そげなおおまんたれはつまらん”って注意してやりよったい！それも分からんとや！？
星梨花,しゃあしかったいきさん！
千早,先生に向かって“きさん”ちゃ何や！そげんくらされたいとか！？
星梨花,やれるもんならやってみい？逆にぼてくしこかしちゃあけんね
千早,貴様ぁー！表出れ！！
星梨花,おう、上等たい！
千早,……はい、お疲れさま！
星梨花,ふぅー。……千早さん、どうでしたか？
千早,前よりずっと発音がネイティブに近づいてきてるわよ。かなり練習したでしょう？
星梨花,実はそうなんです♪博多弁の本を読んだりCDやDVDを見て覚えました！
エミリー,あ、あの…
千早,あらエミリー、どうしたの？
エミリー,先ほど、千早さんと星梨花さんが言い争う声が聞こえたんですけど…何かあったんですか？
星梨花,ああ、ごめんなさい。千早さんに博多弁の稽古をつけてもらっていたんです
エミリー,ハカタ…ベン？何ですかそれは？
千早,平たく言えば“博多”という場所で地元の人が話している言葉のことよ
エミリー,Oh！いわゆる“ホウゲン”というものですね！。しかしさっきのやり取りは、まるで喧嘩しているような感じでしたね…？
千早,それもそのはずよ、だってこれは生徒と先生が口論しているところだもの。いまの場面を標準語にするとこんな感じね
エミリー,Oh…星梨花さんがそんな人とは知りませんでした
星梨花,エミリーさん、これ演技ですから…汗
エミリー,そうでした！ごめんなさい、つい見入ってしまって…
千早,なかなかの不良少女よね笑
エミリー,ところで博多弁ですか？……さっきの言葉の解説をお願いしたいんですけど
星梨花,分かりました、任せてください♪。じゃあまずおおまんたれからいきますね。これはおおまんとたれが合わさった言葉でおおまんが“いい加減”、“だらしない”という意味でたれは“馬鹿たれ”とかのたれです
千早,つまりおおまんたれは“いい加減な人”、だらしのない人”のことを指すのよ
星梨花,補足ありがとうございます！ちなみにそげなとは“そんな”という意味でそげんとも言います
エミリー,へえ…
星梨花,次はしゃあしか。これは“うるさい”、“やかましい”という意味のせからしかが訛った言い方です。しゃあしいとも言いますね
エミリー,面白いですね！
星梨花,きさんは“貴様”が訛った言い方ですね。きしゃんとも言います
千早,福岡ではしぇんしぇーはぜいあーるで来る先生はJRで来る
星梨花,だけどご年配の方しか使いません。ましてきさんなんてよっぽど怒ったときじゃないと言いませんし…
エミリー,なるほど…ところでつまらんというのは？
千早,駄目という意味よ。こらあいっちょんつまらんばいと言えばこれは全然ダメだということになるの。ちなみにいっちょんっていうのは“全然”とか“まったく”って意味ね
星梨花,続けますね。次はくらすとぼてくりこかすです。まずくらす。これは“殴る”とか“叩く”という意味です。うちくらすとも言い、きさん、うちくらすぞ！貴様、ぶん殴るぞ！。次にぼてくりこかす。これは“ボコボコにする”という意味で、先ほどのくらすよりも激しい言い方です。くらすが何発か殴る感じなら、ぼてくりこかすは袋叩きでしょうか…？だいたいそんなイメージですね
千早,あと、～しちゃあというのは“～してやる”って意味よ
エミリー,Oh！どちらにしても痛いのは嫌ですね…
ジュリア,よう、どうしたんだ？３人で集まって
奈緒,なんやめっちゃ楽しそうやん！なに話しとるん？
エミリー,いま、星梨花さんと千早さんに博多弁
ジュリア,アタシの地元の言葉じゃないか！懐かしいなあ
星梨花,えっ、ジュリアさんって福岡出身なんですか！？
ジュリア,あれっ、言ってなかったけか？あと、チハに博多弁を教えたのもこのアタシだ
未來,そうなんですか！？
千早,そうよ。私はもともとジュリアから博多弁を教わったの
奈緒,はあ、知らんかったわ！
ジュリア,驚いただろ？……そういやアタシもこの前さ、同じ言葉でも意味が違う方言があるってのをヤッコから聞いて驚いたんだよ
千早,高槻さんから？
ジュリア,それがなーーー
ジュリアああ、夜中に騒いでいたら“しゃあしいぞ！静かにせれ！,うるさいぞ！静かにしろ！
星梨花,やよいさん、そんな特技があったんですね！凄いです！！
奈緒,まるで歩く翻訳機やな！……そういえば私もこの前やよいに同じような感じで方言のこと教えられたんよ
ジュリア,奈緒もか？
奈緒,うん。この前あった話しやねんけどな、事務所でひなたが“こわい”って言うてたんやーーー。なんやろ…全然分かれへん……。
ひなたやよいさん、なじょしたべ？,どうしたの？
ひなたんだんだ！,そうだよ！
やよいでしょ？東日本では物をしまうことを“かたす”って言うんです。ちなみに西日本の“なおす”は古語で片付けることを意味する“納,のう
やよい福岡,福岡市とその周辺地域
やよい岩手県沿岸南部の気仙,けせん
奈緒,ーーーっちゅうことがあったんよ
千早,高槻さん、本当に物知りよね。私も知らないことをたくさん知っているんだもの
エミリー,私はやよいさんのおかげで方言に魅力を感じるようになってきました。茶道や華道、書道といった文化的なことだけでなく、日本の言葉や風習といった民俗学的なことも究めてこそ真の“大和撫子”と名乗れるような気がしてきたんです
やよい,うっうー！そこまで言ってくれて私もとーっても嬉しいかなーって！！
未来,やよいちゃん！？
やよい,私、そういうことに興味を持ってくれる人をずっと探していたんだ！
ジュリア,興味かあ…。アタシも興味、湧いてきちゃったな
星梨花,私も日本の方言や文化についてもっと知りたいです！
未来,私も！
エミリー,そうです！一つ提案があるんですけど、今ここにいる皆さんで“765プロ民俗学研究同好会”を立ち上げませんか？公演などで全国を巡る合間に日本各地の方言や風習、文化について研究する同好会なんですけど…
千早,なかなかいいアイディアね
奈緒,よっしゃ、私も賛同するで！
やよい,私も参加したいな！
エミリー,ありがとうございます！
ーーーこうして,765プロ民俗学研究同好会
当初は非公式の集まりだったがやがて765プロ公認の企画として生っすか！？サンデー,および“生っすか！？レボリューション”
アイマスシリーズだと、,ばり、卑しかー
