北方棲姫,以下ほっぽ
レポーター,では一方的に襲い掛かってきたと？
ほっぽ,……ハイ
評論家,でもね世間ではあなたがたこそが襲う側侵略者であるとの風潮があるよね
ほっぽ,…チガウ
レポーター,なにか証拠になるようなものはありますか？。正直言って…深海棲艦が被害者という貴方の主張は…その…にわかには受け入れ難く
ほっぽ,コクハクシマス…。ワタシタチハ本気デ戦ッテハイマセン
評論家,はっあの強さでか？。嘘をつくワタシタチは演習弾ヲツカッテマス。……えっ？
ほっぽ,タイキュウ…１…ノコル…ヨネ？
レポーター,では普段の戦闘は……威嚇射撃であると
ほっぽ,…ハイ
評論家,ば、馬鹿な！？
ほっぽ,テジュン…フム
レポーター,提出された書類によると一度目は演習弾にて警告。そしてそれでも進撃してくるような相手にのみ…実弾を使うとのことですが
ほっぽ,二回目モ…警告スルトキモアル
レポーター,耐久１でも見逃す場合もあると
ほっぽ,……ゲンバハンダン。コトヲ…荒立テタクナイ
評論家,嘘だっ？。貴様ら残忍な鬼畜米英がそのような人道的措置をとるわけが
レポーター,しかし常に耐久が１残る演習弾を使っているということに疑いの余地は？
評論家,…うう
レポーター,そして敵に対して演習弾を使う理由が他にありますか？
ほっぽ,…メソメソ。コンナニ…コナイデッテ…イッテルノニ…
評論家,だが…だがそんなそんなわけが
レポーター,そして次の資料。ここ4年間の艦娘轟沈率は…２００隻を超える鎮守府でも平均して年０，４隻。しかしながら大破発生件数は年数百、数千にも及んでいます
ほっぽ,コロシタクナンテ…ナイカラ
レポーター,そんなことがあり得ると？
評論家,…ありえない。すまなかった。今まで私たちはこんないじらしい幼女になんて…なんてひどいことを
ほっぽ,ワカッテクレタ？
評論家,ああ、謝罪とあとなにか私たちにできることは…なにか
ほっぽ,……ヲ姉チャン達にマタアイタイ
評論家,それ…は
ほっぽ,アイタイアイタイヨォ
レポーター,みなさん私たちはいったい何のために戦っていたのでしょうか。さぁ我ラの力でこの戦いを終わらせましょう。抗議の電話は内閣府または軍本部まで
評論家,また彼女たち遺族への募金窓口は0120-〇〇〇-4949シクシク。ご利用になるクレジットカードをお手元にご用意のうえ、カード番号、有効期限、ご寄付金額をお伝えください。
ほっぽ,ミナサンヨロシクオネガイシマス
提督,な、なんじゃこりゃーーーーーーーーー！！
明石,提督！テレビをテレビを壊さないで～
提督,これを地上波で流す気なのか！これを地上波で流す気なのか！
レ級,DVDニ焼イテマスコミ各社に送付準備ズミダ
明石,数多の兵器を改修してきた私にも見抜けなんだ。情報こそが最強の武器であった…とな
提督,かっこつけてる場合じゃねえよ！。だいたいさ！。演習弾使ってるのはこっちもだろ！！
ほっぽ,ホッポヨクワカンナイ
提督,白々しいわ！！。お互い演習弾でなぁなぁに戦う決まり。じゃなかったら演習の時、普段使う弾薬減らない！。あとゲージ破壊ってなんだよ！１戦目に撃破したら２戦目なんてないわ！
大淀,暴露しないという暗黙の了解に甘えたことが間違えです
提督,持ちつ持たれつが日本の心
レ級,放送サレタクナケリャケケケコノ契約書ニサインシナヨ♪
提督,…レカス
レ級,アァン？アー文春シナイナー
提督,か、かわいいかわいいレ級様
レ級,ソレデイイ
ほっぽ,デハ…エグサタイノスイセイ…イワモトタイト…SpitfireMk.Iオイテケ…
提督,持ってないっす
ほっぽ,ボクジョウ…ランカー…ガンバレ
提督,くっ
大淀,提督ご決断を
明石,戦争継続のためには戦ってくれる敵が必要やるしかないです
大淀,全員失業させる気ですか
明石,頑張って…頑張って改修で作れるようにしますから
提督,やむなし……か
レ級,ケケケアリガトサン
ほっぽ,キニイッタウチニキテアネヲファックシテイイゾ
提督,ではここに契約を締結する
１鎮守府,以下甲とする
提督,さらにこれに加え今回の内容を隠匿する代償として。彗星など3機を贈与するものとする…
レ級,動カス燃料モダロカス
提督,くっ、くそっ…
ほっぽ,テツケ…レップウ…ツケトケ…
提督,お前ら…幼女の皮を被った…鬼か
ほっぽ,イイエヒメデス
