モバP,以下P
りあむ,ひぁっ！？な、なんだよぅPサマ！ビックリするじゃんか！
P,ビックリしたのはこっちだぞオイ！速攻で何やらかしてくれてんだオラァ！！！
りあむ,えっ？えっ！？な、ナンのコト！？
P,これだよこれ！デレぽ！
りあむ,
P,ついでにな？この画像を見てみろ
りあむ,何か困り顔してる飛鳥ちゃんと……何かタオルとかの塊？
P,その塊の中にな？ビービー泣いてる二代目シンデレラが居るんだそうだ
りあむ,
P,白目むいて脂汗流してる場合じゃないぞ
りあむ,…うわ～ん！Pさまど～しよ～！ぼくいじめられちゃう？お前の席ねーから！ってされちゃう！？
P,おいりあむ落ち着け！
りあむ,落ち着いてなんかいられないよ～！もうぼくのアイドル人生終わりなんだ～！うわ～ん！
P,だから落ち着けって！ウチにそんな陰湿なマネをする子はいない！
りあむ,ぐすっ…ほんと？
P,当然だ…で、なんでこういうことになったんだ？
りあむ,いや、普通に読めない字が来たから読めないって素直に言っちゃっただけで…
P,夢見、お前そういうトコだぞ？
りあむ,あ～！夢見って言った！Pサマだけはちゃんとりあむって呼んでよ～！
P,はいはい、つまりお前は１４歳の蘭子より漢字が読めなかったってことだな？
りあむ,う”っ…そうだけどさぁ…もうちょっと言い方ない！？やむよ！？
P,事実だろ？
りあむ,事実の方が時に人を傷つけるんだよ！？
P,お前は防御力低いけどHP超高いから大丈夫だって
りあむ,えっ…何その変な信頼…
P,まあそれはそれとしてだ
りあむ,流された…
P,とりあえず蘭子に詫びに行くぞ
りあむ,…う"わ"あ"あ"あ"あ"ん！やっぱりそうなんだ！ぼくシメられるんだ！二度とアイドル出来ない顔にされちゃうんだああああ！！！
P,だからしねえって！とりあえずりあむ…これだけやっておけ
りあむ,…なにこれ、ノート？名前を書いたら死んじゃう系？…まさかこれにぼくの名前を…！？
P,とりあえずさっきの蘭子のレスな？
りあむ,また流された…
P,ようこそりあむちゃん！一緒にがんばろうね！
りあむ,えっ…いきなりナニ？Pサマがアイドルっぽいしゃべりかたとかキモい…
P,夢見
りあむ,わ～！ウソウソ！Pサマカッコイイ！茄子様Pサマ芳乃様！
P,あれが蘭子のレスの意味だ
りあむ,えっ…
P,熊本弁は確かに難しいけどな、蘭子は色々キナくさいお前にいの一番に挨拶してくれたんだ
りあむ,キナくさい…
P,だからな？
りあむ,うん…
P,このノートいっぱいにさっきお前が読めなかった漢字の書き取り練習
りあむ,ぼく、謝っ……へ？
P,今すぐに行っても火にガソリンブッかけるのは目に見えているからな！
りあむ,酷い！
P,今は飛鳥がなだめているから、まずは勉強だ
りあむ,いやPサマ…ぼく学校続かなかったって言ったよね？こういうのはちょっと…
P,いいからほら、さっさとやらないと帰れないぞ
りあむ,ひどい！終わるまで帰れま１０！？
P,早苗さんあたり呼ぶか？
りあむ,やるます！
P,よろしい
りあむ,……ひ～ん！画数多いよぅ！というかノートのページ数多いって！
P,口動かさずに手を動かせ～
りあむ,あっ、それよくあるセリフだ！エ●ゲとかで！
P,拓海～
りあむ,う"あ"あ"あ"あ"あ"！汝…顕現…祝福…
P,じゃあ俺はしばらく仕事してるから、ちゃんとやってろよ
りあむ,う、うん！まかせて！
P,じゃあ…愛海
愛海,ここに
りあむ,！？
P,アイツがサボったら好きにしていいから
愛海,御意！
P,じゃ、そういうことで
愛海,……
りあむ,普段の愛海ちゃんからは想像もできないほど真剣な顔をしてる…
愛海,うひっ…うひひひっ…
りあむ,…と思ったら今度はアイドルがしちゃいけないような顔してる～！？
愛海,ねえ夢見さん、疲れたでしょ？すこ～しくらいならサボっても良いんじゃないかな？
りあむ,ひぃぃ！指がR-18な感じで蠢いてるぅぅぅ！
愛海,なんだったらあたしが書き取りやってあげるからさ？
りあむ,サボったら…ヤられる！。うおおおおおおお！！！
愛海,お～、凄い集中力……それなら少しくらい味見しても気付かないかな…？
りあむ,ひぃぃぃぃぃ…！！！
P,戻ったぞ～、終わったか～？
りあむ,ぁ…Pサマ…ぼくやったよ…やりとげたよ…
P,お～、ちゃんと最後までやってあるな、さすがだ
りあむ,えへへ…ありがと
P,んで…そこに転がっている愛海は？
愛海,
りあむ,わかんない、でも途中で１回お”ほっ！？って声が聞こえたかなぁ…その後は凄く静かだったよ
P,ナース拳恐るべし…
